SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
1982,14,LAL,Magic Johnson,22,14,,40.1,5.9,11.2,0.53,0.0,0.3,0.0,5.9,10.9,0.54,0.53,5.5,6.6,0.83,3.9,7.4,11.3,9.3,2.9,0.2,3.1,3.6,17.4
1982,14,LAL,Norm Nixon,26,14,,39.2,8.6,18.1,0.48,0.1,0.2,0.33,8.6,17.9,0.48,0.48,3.1,4.1,0.75,0.9,2.1,3.1,8.1,1.6,0.1,2.4,3.1,20.4
1982,14,LAL,Jamaal Wilkes,28,14,,38.2,8.6,17.2,0.5,0.0,0.1,0.0,8.6,17.1,0.5,0.5,2.7,3.5,0.78,2.9,2.1,5.0,2.6,1.1,0.2,2.9,3.1,20.0
1982,14,LAL,Kareem Abdul-Jabbar,34,14,,35.2,8.2,15.8,0.52,0.0,0.0,,8.2,15.8,0.52,0.52,3.9,6.2,0.63,2.4,6.1,8.5,3.6,1.0,3.2,2.9,3.2,20.4
1982,14,LAL,Bob McAdoo,30,14,,27.7,7.2,12.8,0.56,0.0,0.0,,7.2,12.8,0.56,0.56,2.3,3.4,0.68,1.5,5.3,6.8,1.6,0.7,1.5,2.5,3.1,16.7
1982,14,LAL,Michael Cooper,25,14,,27.4,5.0,8.9,0.56,0.1,0.1,0.5,4.9,8.7,0.57,0.57,1.8,2.4,0.74,1.4,3.0,4.4,4.4,1.7,0.8,2.1,3.4,11.9
1982,14,LAL,Kurt Rambis,23,14,,19.9,2.4,4.6,0.52,0.0,0.0,,2.4,4.6,0.52,0.52,1.1,1.9,0.62,2.3,3.9,6.1,0.8,0.6,0.9,1.2,3.4,5.9
1982,14,LAL,Jim Brewer,30,8,,7.1,0.4,0.8,0.5,0.0,0.0,,0.4,0.8,0.5,0.5,0.0,0.0,,0.5,0.9,1.4,0.5,0.3,0.8,0.5,0.6,0.8
1982,14,LAL,Mark Landsberger,26,9,,6.7,0.3,1.0,0.33,0.0,0.0,,0.3,1.0,0.33,0.33,0.4,1.0,0.44,1.2,1.2,2.4,0.2,0.0,0.0,0.4,1.3,1.1
1982,14,LAL,Clay Johnson,25,7,,5.4,0.7,1.3,0.56,0.0,0.0,,0.7,1.3,0.56,0.56,0.3,0.3,1.0,0.1,0.3,0.4,0.1,0.1,0.0,0.1,0.9,1.7
1982,14,LAL,Mike McGee,22,4,,2.5,1.5,3.3,0.46,0.0,0.3,0.0,1.5,3.0,0.5,0.46,0.0,0.0,,0.8,0.0,0.8,0.0,0.0,0.0,0.3,0.3,3.0
1982,14,LAL,Eddie Jordan,27,3,,2.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,1.7,0.7,0.0,0.3,0.0,0.0
