Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1981.0,5.0,1039,CHI,Chicago Bulls,Artis Gilmore,31.0,6.0,,247.0,7.0,12.1,0.58,0.0,0.0,,7.0,12.1,0.58,7.7,11.1,0.69,4.8,8.7,13.5,2.4,1.2,3.4,3.4,3.0,21.7,121.0,106.0
1981.0,5.0,3115,CHI,Chicago Bulls,Bob Wilkerson,26.0,6.0,,152.0,8.2,19.3,0.42,0.0,0.3,0.0,8.2,19.0,0.43,1.6,1.6,1.0,2.0,3.3,5.2,4.6,1.6,0.3,3.6,4.3,18.0,94.0,111.0
1981.0,5.0,747,CHI,Chicago Bulls,Coby Dietrick,32.0,6.0,,81.0,4.9,16.0,0.31,0.0,1.8,0.0,4.9,14.1,0.35,1.8,2.5,0.75,1.8,7.4,9.2,2.5,1.2,1.8,1.2,11.7,11.7,86.0,107.0
1981.0,5.0,1119,CHI,Chicago Bulls,Dave Greenwood,23.0,6.0,,212.0,12.0,20.4,0.59,0.0,0.5,0.0,12.0,19.9,0.6,1.2,2.8,0.42,3.8,6.6,10.3,2.6,2.1,1.2,2.1,6.1,25.1,118.0,107.0
1981.0,5.0,1540,CHI,Chicago Bulls,Dwight Jones,28.0,6.0,,217.0,6.6,14.0,0.48,0.0,0.0,,6.6,14.0,0.48,3.9,3.9,1.0,4.1,9.4,13.5,2.5,1.1,0.7,3.7,4.8,17.2,106.0,108.0
1981.0,5.0,3117,CHI,Chicago Bulls,James Wilkes,22.0,2.0,,5.0,0.0,9.9,0.0,0.0,0.0,,0.0,9.9,0.0,0.0,0.0,,0.0,9.9,9.9,9.9,9.9,0.0,19.9,0.0,0.0,15.0,91.0
1981.0,5.0,1596,CHI,Chicago Bulls,Larry Kenon,28.0,6.0,,114.0,7.9,20.1,0.39,0.0,0.4,0.0,7.9,19.6,0.4,1.7,3.5,0.5,7.4,4.4,11.8,3.5,1.7,0.4,0.4,1.7,17.4,109.0,110.0
1981.0,5.0,2836,CHI,Chicago Bulls,Reggie Theus,23.0,6.0,,232.0,8.6,19.3,0.44,0.4,1.9,0.22,8.1,17.4,0.47,7.9,9.2,0.86,1.5,3.0,4.5,8.1,1.9,0.0,3.2,4.7,25.5,117.0,111.0
1981.0,5.0,2715,CHI,Chicago Bulls,Ricky Sobers,28.0,6.0,,162.0,10.7,24.9,0.43,0.3,1.8,0.17,10.4,23.0,0.45,2.5,2.8,0.89,0.9,2.5,3.4,6.8,1.2,0.0,4.6,8.0,24.2,95.0,112.0
1981.0,5.0,1737,CHI,Chicago Bulls,Ronnie Lester,22.0,5.0,,42.0,8.3,21.3,0.39,0.0,1.2,0.0,8.3,20.1,0.41,5.9,8.3,0.71,5.9,1.2,7.1,4.7,2.4,0.0,5.9,4.7,22.5,92.0,111.0
1981.0,5.0,3232,CHI,Chicago Bulls,Sam Worthen,23.0,1.0,,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,117.0
