PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Lonzo Ball,20,52,50,34.2,3.9,10.8,0.36,1.7,5.7,0.305,2.2,5.2,0.42,0.44,0.6,1.4,0.451,1.3,5.6,6.9,7.2,1.7,0.8,2.6,2.3,10.2
Brandon Ingram,20,59,59,33.5,6.1,12.9,0.47,0.7,1.8,0.39,5.4,11.1,0.483,0.49700000000000005,3.3,4.8,0.6809999999999999,1.0,4.4,5.3,3.9,0.8,0.7,2.5,2.8,16.1
Kentavious Caldwell-Pope,24,74,74,33.2,4.6,10.8,0.426,2.1,5.6,0.38299999999999995,2.4,5.2,0.473,0.526,2.1,2.6,0.789,0.8,4.4,5.2,2.2,1.4,0.2,1.3,2.0,13.4
Andre Ingram,32,2,0,32.0,4.0,8.5,0.47100000000000003,2.5,4.5,0.556,1.5,4.0,0.375,0.618,1.5,1.5,1.0,0.5,2.5,3.0,3.5,1.5,1.5,1.5,1.5,12.0
Kyle Kuzma,22,77,37,31.2,6.1,13.5,0.45,2.1,5.6,0.366,4.0,7.9,0.511,0.527,1.9,2.7,0.7070000000000001,1.1,5.1,6.3,1.8,0.6,0.4,1.8,2.1,16.1
Isaiah Thomas,28,17,1,26.8,5.1,13.4,0.38299999999999995,1.9,5.9,0.327,3.2,7.4,0.429,0.456,3.4,3.7,0.9209999999999999,0.6,1.5,2.1,5.0,0.4,0.1,3.2,1.9,15.6
Julius Randle,23,82,49,26.7,6.1,11.0,0.5579999999999999,0.1,0.5,0.222,6.0,10.5,0.575,0.563,3.7,5.2,0.718,2.2,5.8,8.0,2.6,0.5,0.5,2.6,3.3,16.1
Jordan Clarkson,25,53,2,23.7,5.6,12.6,0.44799999999999995,1.3,4.0,0.324,4.4,8.6,0.505,0.499,2.0,2.5,0.795,0.8,2.2,3.0,3.3,0.7,0.1,1.8,1.2,14.5
Brook Lopez,29,74,72,23.4,5.0,10.7,0.465,1.5,4.4,0.345,3.5,6.3,0.5489999999999999,0.536,1.5,2.1,0.703,1.0,3.0,4.0,1.7,0.4,1.3,1.3,2.6,13.0
Josh Hart,22,63,23,23.2,2.8,6.0,0.469,1.2,3.1,0.396,1.6,2.8,0.551,0.573,1.0,1.5,0.7020000000000001,0.7,3.5,4.2,1.3,0.7,0.3,0.7,1.7,7.9
Larry Nance,25,42,17,22.0,3.6,6.0,0.601,0.0,0.1,0.25,3.6,5.9,0.606,0.603,1.3,2.1,0.632,2.6,4.2,6.8,1.4,1.4,0.5,1.0,2.7,8.6
Channing Frye,34,9,0,16.7,2.2,4.8,0.465,1.0,2.8,0.36,1.2,2.0,0.611,0.57,0.3,0.4,0.75,0.2,2.6,2.8,1.1,0.1,0.1,0.4,1.7,5.8
Alex Caruso,23,37,7,15.2,1.4,3.1,0.431,0.4,1.2,0.302,1.0,2.0,0.507,0.48700000000000004,0.6,0.8,0.7,0.4,1.4,1.8,2.0,0.6,0.3,1.1,1.4,3.6
Travis Wear,27,17,0,13.4,1.5,4.2,0.34700000000000003,1.0,2.8,0.36200000000000004,0.5,1.5,0.32,0.465,0.5,0.5,1.0,0.0,2.2,2.2,0.4,0.2,0.3,0.4,1.8,4.4
Luol Deng,32,1,1,13.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0
Corey Brewer,31,54,2,12.9,1.4,3.2,0.45299999999999996,0.1,0.8,0.18600000000000003,1.3,2.4,0.5429999999999999,0.47700000000000004,0.6,0.9,0.667,0.4,1.3,1.7,0.8,0.8,0.1,0.7,1.5,3.7
Tyler Ennis,23,54,11,12.6,1.7,4.1,0.42,0.3,1.0,0.25,1.5,3.1,0.47600000000000003,0.451,0.4,0.5,0.759,0.4,1.4,1.8,1.9,0.6,0.2,0.7,1.4,4.1
Gary Payton,25,11,0,10.5,1.5,3.7,0.415,0.4,1.2,0.308,1.2,2.5,0.46399999999999997,0.46299999999999997,0.1,0.5,0.16699999999999998,0.8,1.6,2.5,1.1,0.4,0.2,0.4,1.2,3.5
Ivica Zubac,20,43,0,9.5,1.4,2.8,0.5,0.0,0.0,0.0,1.4,2.8,0.504,0.5,0.9,1.2,0.765,1.0,1.8,2.9,0.6,0.2,0.3,0.6,1.1,3.7
Vander Blue,25,5,0,9.0,0.2,1.0,0.2,0.0,0.4,0.0,0.2,0.6,0.33299999999999996,0.2,0.2,0.4,0.5,0.0,0.2,0.2,0.6,0.2,0.0,0.6,0.4,0.6
Andrew Bogut,33,24,5,9.0,0.7,1.0,0.68,0.0,0.0,,0.7,1.0,0.68,0.68,0.1,0.1,1.0,1.1,2.2,3.3,0.6,0.2,0.5,0.8,1.7,1.5
Nigel Hayes,23,2,0,5.5,0.5,1.5,0.33299999999999996,0.0,1.0,0.0,0.5,0.5,1.0,0.33299999999999996,0.5,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5
Thomas Bryant,20,15,0,4.8,0.5,1.4,0.381,0.1,0.7,0.1,0.5,0.7,0.636,0.405,0.3,0.6,0.556,0.2,0.9,1.1,0.4,0.1,0.1,0.1,0.4,1.5
Derrick Williams,26,2,0,4.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0
