Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1985,24,PHO,Phoenix Suns,Mike Sanders,24,3,3,91,10.6,17.8,0.6,0.0,0.0,,10.6,17.8,0.6,3.9,4.8,0.8,3.9,3.4,7.2,4.8,2.4,0.0,4.3,3.9,25.1,,113,124
1985,24,PHO,Phoenix Suns,Jay Humphries,22,3,3,90,9.8,15.1,0.64,0.0,0.0,,9.8,15.1,0.64,4.4,5.9,0.75,0.5,2.0,2.4,7.8,1.0,0.0,3.9,5.9,23.9,,119,128
1985,24,PHO,Phoenix Suns,Kyle Macy,27,3,3,85,6.7,13.4,0.5,0.5,2.1,0.25,6.2,11.4,0.55,2.1,2.6,0.8,1.5,2.6,4.1,4.6,3.1,0.0,3.1,2.6,16.0,,103,123
1985,24,PHO,Phoenix Suns,Maurice Lucas,32,3,0,84,11.5,24.6,0.47,0.0,0.0,,11.5,24.6,0.47,7.8,9.9,0.79,6.3,11.0,17.2,5.2,1.0,1.0,4.2,6.3,30.8,,109,122
1985,24,PHO,Phoenix Suns,Charles Pittman,26,3,3,82,7.5,12.3,0.61,0.0,0.0,,7.5,12.3,0.61,6.4,9.1,0.71,3.2,7.0,10.2,4.8,0.0,1.6,4.8,5.4,21.4,,111,126
1985,24,PHO,Phoenix Suns,Alvan Adams,30,3,3,79,12.8,25.6,0.5,0.0,0.0,,12.8,25.6,0.5,2.8,3.3,0.83,2.2,7.2,9.4,6.1,3.9,0.6,3.3,4.4,28.3,,105,119
1985,24,PHO,Phoenix Suns,Alvin Scott,29,3,0,64,2.1,8.2,0.25,0.0,0.7,0.0,2.1,7.5,0.27,3.4,4.1,0.83,2.1,3.4,5.5,6.9,0.7,2.7,4.1,5.5,7.5,,82,125
1985,24,PHO,Phoenix Suns,Rod Foster,24,3,0,56,5.5,19.6,0.28,0.0,3.1,0.0,5.5,16.5,0.33,4.7,6.3,0.75,0.0,2.4,2.4,5.5,3.9,0.0,3.9,3.1,15.7,,75,122
1985,24,PHO,Phoenix Suns,Michael Holton,23,3,0,55,7.2,15.2,0.47,0.0,3.2,0.0,7.2,12.0,0.6,3.2,3.2,1.0,0.0,1.6,1.6,7.2,0.0,0.0,2.4,6.4,17.6,,108,130
1985,24,PHO,Phoenix Suns,Charles Jones,23,2,0,34,3.9,6.5,0.6,0.0,0.0,,3.9,6.5,0.6,7.7,7.7,1.0,1.3,2.6,3.9,3.9,0.0,3.9,3.9,5.2,15.5,,123,126
