Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1985,11,HOU,Houston Rockets,Ralph Sampson,24,5,5,193,10.3,24.0,0.43,0.2,0.2,1.0,10.1,23.7,0.42,4.6,8.9,0.51,6.0,13.9,19.9,1.7,0.5,1.9,4.1,5.5,25.4,96,97,2549
1985,11,HOU,Houston Rockets,Hakeem Olajuwon,22,5,5,187,10.4,21.8,0.48,0.0,0.0,,10.4,21.8,0.48,5.4,11.4,0.48,8.2,7.9,16.1,1.7,1.7,3.2,2.7,5.4,26.2,107,97,2198
1985,11,HOU,Houston Rockets,Rodney McCray,23,5,5,181,4.9,8.7,0.56,0.0,0.0,,4.9,8.7,0.56,3.8,5.9,0.65,2.3,5.4,7.7,2.8,1.5,0.3,3.3,4.3,13.5,105,103,1911
1985,11,HOU,Houston Rockets,Lewis Lloyd,25,5,5,174,10.1,20.5,0.49,0.0,0.0,,10.1,20.5,0.49,2.7,3.7,0.71,4.0,3.7,7.7,6.6,1.9,2.1,2.7,3.2,22.8,114,101,1760
1985,11,HOU,Houston Rockets,John Lucas,31,5,4,152,7.9,24.3,0.32,0.6,4.3,0.14,7.3,20.1,0.36,4.3,6.7,0.64,2.1,4.3,6.4,8.2,1.8,0.0,2.1,4.3,20.7,96,103,1783
1985,11,HOU,Houston Rockets,Lionel Hollins,31,5,1,94,3.9,12.8,0.31,0.0,0.0,,3.9,12.8,0.31,0.5,0.5,1.0,0.5,3.9,4.4,8.9,2.0,0.0,3.4,7.9,8.4,79,103,1312
1985,11,HOU,Houston Rockets,Robert Reid,29,5,0,87,10.1,23.9,0.42,0.0,2.1,0.0,10.1,21.8,0.46,0.0,0.0,,1.6,7.4,9.0,2.7,2.1,1.1,3.2,11.7,20.2,89,99,2423
1985,11,HOU,Houston Rockets,Larry Micheaux,24,5,0,57,4.9,15.4,0.32,0.0,0.8,0.0,4.9,14.6,0.33,3.2,8.1,0.4,9.7,7.3,17.0,0.0,0.0,1.6,2.4,6.5,13.0,86,103,1977
1985,11,HOU,Houston Rockets,Mitchell Wiggins,25,5,0,45,9.2,18.5,0.5,0.0,0.0,,9.2,18.5,0.5,0.0,0.0,,3.1,1.0,4.1,1.0,4.1,0.0,3.1,6.2,18.5,98,100,3109
1985,11,HOU,Houston Rockets,Allen Leavell,27,5,0,16,5.8,17.3,0.33,0.0,5.8,0.0,5.8,11.6,0.5,5.8,5.8,1.0,2.9,5.8,8.7,8.7,0.0,0.0,2.9,5.8,17.3,105,106,1712
1985,11,HOU,Houston Rockets,Jim Petersen,22,3,0,8,5.8,5.8,1.0,0.0,0.0,,5.8,5.8,1.0,0.0,0.0,,5.8,5.8,11.6,5.8,0.0,0.0,5.8,11.6,11.6,106,105,2293
1985,11,HOU,Houston Rockets,Craig Ehlo,23,3,0,6,7.7,7.7,1.0,0.0,0.0,,7.7,7.7,1.0,15.4,15.4,1.0,0.0,0.0,0.0,0.0,30.8,0.0,0.0,23.1,30.8,227,45,838
