SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1980,20,NYK,25,Bill Cartwright,C,7-1,245,1957-07-30,US,R,San Francisco
1980,20,NYK,35,Jim Cleamons,PG,6-3,185,1949-09-13,US,8,Ohio State
1980,20,NYK,45,Hollis Copeland,SF,6-6,180,1955-12-20,US,R,Rutgers University
1980,20,NYK,42,Larry Demic,PF,6-9,225,1957-06-27,US,R,Arizona
1980,20,NYK,34,Mike Glenn,SG,6-2,175,1955-09-10,US,2,Southern Illinois
1980,20,NYK,23,Geoff Huston,PG,6-2,175,1957-11-08,US,R,Texas Tech
1980,20,NYK,43,Toby Knight,SF,6-9,210,1955-05-03,US,2,Notre Dame
1980,20,NYK,50,Joe Meriweather,PF,6-10,215,1953-10-26,US,4,Southern Illinois
1980,20,NYK,15,Earl Monroe,SG,6-3,185,1944-11-21,US,12,Winston-Salem State
1980,20,NYK,20,Micheal Ray Richardson,SG,6-5,189,1955-04-11,US,1,Montana
1980,20,NYK,40,Marvin Webster,C,7-1,225,1952-04-13,US,4,Morgan State University
1980,20,NYK,13,Ray Williams,PG,6-3,188,1954-10-14,US,2,Minnesota
1980,20,NYK,33,Sly Williams,SF,6-7,210,1958-01-26,US,R,Rhode Island
