PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Donovan Mitchell,21,11,411,16.8,0.512,0.32899999999999996,0.177,2.3,14.8,8.5,20.8,1.9,0.9,10.9,31.5,,0.0,0.5,0.5,0.062,,1.1,0.9,2.0,0.4
Rudy Gobert,25,11,383,19.4,0.662,0.0,0.69,12.0,21.3,16.6,4.5,1.3,5.8,16.1,15.0,,0.8,0.6,1.5,0.184,,0.9,2.0,2.9,0.5
Joe Ingles,30,11,382,12.3,0.623,0.636,0.14,1.4,12.3,6.8,15.2,0.8,0.5,16.8,17.8,,0.4,0.3,0.7,0.085,,0.7,0.3,0.9,0.3
Jae Crowder,27,11,323,8.4,0.457,0.611,0.259,1.3,17.5,9.3,8.7,2.3,0.5,10.4,18.3,,-0.3,0.4,0.1,0.02,,-2.3,1.5,-0.7,0.1
Derrick Favors,26,11,286,16.4,0.618,0.07400000000000001,0.485,7.4,14.1,10.7,7.1,1.4,3.4,10.8,14.3,,0.5,0.4,0.9,0.146,,1.0,1.9,2.9,0.4
Royce O'Neale,24,11,259,9.5,0.606,0.5,0.33899999999999997,1.2,14.7,7.9,8.5,1.9,1.4,19.9,13.7,,0.0,0.3,0.4,0.069,,-2.3,2.5,0.2,0.1
Ricky Rubio,27,6,181,15.9,0.47100000000000003,0.405,0.29100000000000004,2.9,23.5,13.1,36.8,2.2,1.5,16.8,26.1,,0.0,0.3,0.2,0.063,,0.4,2.0,2.5,0.2
Alec Burks,26,9,120,22.3,0.581,0.313,0.23399999999999999,1.8,20.0,10.8,26.4,1.6,0.7,10.2,28.9,,0.3,0.2,0.4,0.16899999999999998,,4.2,2.8,7.0,0.3
Dante Exum,22,10,114,8.0,0.551,0.171,0.293,3.7,9.5,6.6,14.4,0.4,0.8,24.5,23.7,,-0.2,0.1,-0.1,-0.032,,-4.4,-1.8,-6.2,-0.1
Jonas Jerebko,30,10,79,9.1,0.478,0.316,0.105,5.4,16.5,10.9,5.5,1.9,0.0,4.8,11.7,,0.0,0.1,0.1,0.08,,-2.3,1.4,-0.9,0.0
Raul Neto,25,8,72,7.4,0.41700000000000004,0.304,0.217,3.0,12.1,7.5,20.2,1.4,0.0,13.7,17.9,,-0.1,0.1,0.0,0.004,,-3.4,0.2,-3.2,0.0
Ekpe Udoh,30,6,21,3.1,0.36200000000000004,0.0,4.0,5.1,10.4,7.7,0.0,0.0,8.4,26.6,7.9,,0.0,0.0,0.0,-0.044000000000000004,,-5.7,1.2,-4.5,0.0
David Stockton,26,2,6,-0.7,0.33299999999999996,0.33299999999999996,0.0,0.0,18.1,9.0,0.0,0.0,0.0,0.0,22.1,,0.0,0.0,0.0,-0.136,,-10.5,-1.4,-11.9,0.0
Tony Bradley,20,1,2,41.9,0.5,0.0,0.0,53.2,0.0,26.9,0.0,0.0,0.0,0.0,44.1,,0.0,0.0,0.0,0.223,,13.4,-8.8,4.7,0.0
