SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2013,2,BOS,12,Leandro Barbosa,PG,6-3,194,1982-11-28,BR,9,
2013,2,BOS,30,Brandon Bass,PF,6-8,250,1985-04-30,US,7,LSU
2013,2,BOS,0,Avery Bradley,PG,6-3,180,1990-11-26,US,2,Texas
2013,2,BOS,98,Jason Collins,C,7-0,255,1978-12-02,US,11,Stanford
2013,2,BOS,27,Jordan Crawford,SG,6-4,195,1988-10-23,US,2,"Indiana, Xavier"
2013,2,BOS,5,Kevin Garnett,C,6-11,240,1976-05-19,US,17,
2013,2,BOS,8,Jeff Green,PF,6-8,235,1986-08-28,US,4,Georgetown
2013,2,BOS,43,Kris Joseph,SF,6-7,210,1988-12-17,CA,R,Syracuse
2013,2,BOS,11,Courtney Lee,SG,6-5,215,1985-10-03,US,4,Western Kentucky
2013,2,BOS,13,Fab Melo,C,7-0,255,1990-06-20,BR,R,Syracuse
2013,2,BOS,99,Darko Milicic,C,7-0,250,1985-06-20,RS,9,
2013,2,BOS,34,Paul Pierce,SF,6-7,235,1977-10-13,US,14,Kansas
2013,2,BOS,42,Shavlik Randolph,PF,6-10,240,1983-11-24,US,5,Duke
2013,2,BOS,9,Rajon Rondo,PG,6-1,180,1986-02-22,US,6,Kentucky
2013,2,BOS,7,Jared Sullinger,PF,6-9,260,1992-03-04,US,R,Ohio State
2013,2,BOS,4,Jason Terry,SG,6-2,185,1977-09-15,US,13,Arizona
2013,2,BOS,41,Jarvis Varnado,PF,6-9,230,1988-03-01,US,R,Mississippi State
2013,2,BOS,12,D.J. White,PF,6-9,251,1986-08-31,US,4,Indiana
2013,2,BOS,44,Chris Wilcox,C,6-10,221,1982-09-03,US,10,Maryland
2013,2,BOS,55,Terrence Williams,SF,6-6,220,1987-06-28,US,3,Louisville
