NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
0,Andray Blatche,C,6-11,235,1986-08-22,US,7,
10,Keith Bogans,SG,6-5,215,1980-05-12,US,9,Kentucky
9,MarShon Brooks,SG,6-5,200,1989-01-26,US,1,Providence
2,Josh Childress,SF,6-8,210,1983-06-20,US,6,Stanford
30,Reggie Evans,PF,6-8,245,1980-05-18,US,10,Iowa
43,Kris Humphries,PF,6-9,235,1985-02-06,US,8,Minnesota
14,Damion James,SF,6-7,225,1987-10-07,US,2,Texas
7,Joe Johnson,SG,6-7,240,1981-06-29,US,11,Arkansas
24,Kris Joseph,SF,6-7,210,1988-12-17,CA,R,Syracuse
11,Brook Lopez,C,7-0,282,1988-04-01,US,4,Stanford
20,Tornike Shengelia,SF,6-9,217,1991-10-05,GE,R,
42,Jerry Stackhouse,SF,6-6,218,1974-11-05,US,17,UNC
41,Tyshawn Taylor,PG,6-3,185,1990-04-12,US,R,Kansas
33,Mirza Teletović,PF,6-9,242,1985-09-18,BA,R,
45,Gerald Wallace,SF,6-7,215,1982-07-23,US,11,Alabama
1,C.J. Watson,PG,6-2,175,1984-04-17,US,5,Tennessee
8,Deron Williams,PG,6-3,200,1984-06-26,US,7,Illinois
