Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1982,5,1119,CHI,Chicago Bulls,Dave Greenwood,24,82,82,2914,8.0,16.9,0.47,0.0,0.0,0.0,8.0,16.8,0.48,4.0,4.8,0.82,3.2,9.9,13.1,4.4,1.2,1.5,3.0,4.9,20.0,108,106
1982,5,2836,CHI,Chicago Bulls,Reggie Theus,24,82,82,2838,9.6,20.4,0.47,0.4,1.7,0.25,9.1,18.7,0.49,6.2,7.7,0.81,2.0,3.4,5.3,8.1,1.5,0.3,4.7,4.2,25.8,107,111
1982,5,1039,CHI,Chicago Bulls,Artis Gilmore,32,82,82,2796,9.5,14.5,0.65,0.0,0.0,1.0,9.4,14.5,0.65,7.4,9.6,0.77,3.9,10.6,14.5,2.4,0.8,3.8,3.9,5.0,26.3,124,104
1982,5,1737,CHI,Chicago Bulls,Ronnie Lester,23,75,74,2252,7.1,14.1,0.5,0.1,0.2,0.5,7.0,14.0,0.5,4.5,5.5,0.81,1.6,3.0,4.6,7.8,1.7,0.3,4.0,3.4,18.7,109,111
1982,5,1540,CHI,Chicago Bulls,Dwight Jones,29,78,18,2040,7.2,13.6,0.53,0.0,0.0,1.0,7.2,13.6,0.53,4.1,5.7,0.72,3.7,8.3,12.0,2.7,1.2,0.9,3.7,5.2,18.5,107,108
1982,5,2715,CHI,Chicago Bulls,Ricky Sobers,29,80,6,1938,9.1,20.0,0.45,0.5,1.9,0.25,8.6,18.1,0.47,4.9,6.4,0.77,0.9,2.6,3.6,7.5,1.8,0.5,5.4,6.0,23.5,98,111
1982,5,3229,CHI,Chicago Bulls,Orlando Woolridge,22,75,12,1188,8.2,16.1,0.51,0.0,0.1,0.0,8.2,16.0,0.52,5.9,8.4,0.7,3.3,5.9,9.3,3.3,0.9,1.0,4.4,6.2,22.4,105,110
1982,5,1596,CHI,Chicago Bulls,Larry Kenon,29,60,30,1036,9.0,19.3,0.47,0.0,0.0,,9.0,19.3,0.47,2.3,4.1,0.57,3.4,5.1,8.4,3.0,1.4,0.3,3.8,3.3,20.3,95,110
1982,5,747,CHI,Chicago Bulls,Coby Dietrick,33,74,0,999,4.5,9.7,0.46,0.0,0.0,0.0,4.5,9.7,0.46,1.8,2.6,0.7,3.1,6.1,9.1,4.2,2.4,1.5,2.1,6.4,10.8,106,106
1982,5,3117,CHI,Chicago Bulls,James Wilkes,23,57,22,862,7.2,15.0,0.48,0.0,0.1,0.0,7.2,14.9,0.48,3.3,4.5,0.72,3.5,5.5,8.9,3.6,1.7,1.0,3.5,6.3,17.7,102,108
1982,5,273,CHI,Chicago Bulls,Ray Blume,23,49,2,546,9.1,19.7,0.46,0.4,1.6,0.22,8.7,18.1,0.48,1.6,2.5,0.64,1.2,2.4,3.6,6.0,2.0,0.2,4.8,5.1,20.1,92,111
1982,5,1419,CHI,Chicago Bulls,Tracy Jackson,22,38,0,412,8.1,17.2,0.47,0.0,0.0,,8.1,17.2,0.47,3.8,4.6,0.82,3.3,2.7,6.0,2.6,1.3,0.4,2.1,5.1,20.0,110,112
1982,5,423,CHI,Chicago Bulls,Roger Burkman,23,6,0,30,0.0,6.5,0.0,0.0,1.6,0.0,0.0,4.8,0.0,8.1,9.7,0.83,3.2,6.5,9.7,8.1,9.7,3.2,4.8,9.7,8.1,85,90
1982,5,2477,CHI,Chicago Bulls,Jackie Robinson,26,3,0,29,5.0,15.0,0.33,0.0,0.0,,5.0,15.0,0.33,6.7,6.7,1.0,5.0,0.0,5.0,0.0,0.0,0.0,1.7,1.7,16.7,107,116
