PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Stephen Curry,26,21,21,826,8.7,19.1,0.456,4.3,10.1,0.42200000000000004,4.4,9.0,0.493,4.2,5.0,0.835,0.9,3.7,4.6,5.8,1.7,0.1,3.6,2.0,25.9
Draymond Green,24,21,21,784,4.6,11.0,0.41700000000000004,1.1,4.2,0.264,3.5,6.8,0.51,2.9,4.0,0.736,2.1,7.6,9.7,5.0,1.7,1.1,2.7,4.1,13.2
Klay Thompson,24,21,21,761,7.0,15.8,0.446,2.7,6.9,0.39,4.4,8.9,0.489,1.7,2.1,0.8,0.4,3.4,3.8,2.6,0.8,0.9,1.9,3.0,18.5
Harrison Barnes,22,21,21,681,4.7,10.6,0.44,1.2,3.3,0.355,3.5,7.3,0.478,1.3,1.8,0.735,2.4,3.4,5.8,1.7,0.9,0.6,1.2,2.4,11.8
Andre Iguodala,31,21,3,635,4.6,9.7,0.474,1.6,4.6,0.354,2.9,5.0,0.584,1.5,3.7,0.415,0.9,4.4,5.3,4.3,1.4,0.4,0.8,2.4,12.4
Andrew Bogut,30,19,18,440,3.4,6.1,0.56,0.0,0.1,0.0,3.4,6.1,0.568,0.4,1.1,0.385,3.4,9.2,12.5,2.9,0.9,2.8,2.1,5.6,7.3
Shaun Livingston,29,21,0,375,4.0,7.6,0.532,0.0,0.1,0.0,4.0,7.5,0.5379999999999999,2.0,2.4,0.84,1.2,3.6,4.9,3.6,0.8,0.5,2.0,3.1,10.1
Leandro Barbosa,32,21,0,229,6.1,13.8,0.44299999999999995,1.3,3.6,0.348,4.9,10.2,0.47700000000000004,2.8,3.5,0.818,1.3,3.0,4.2,2.8,0.9,0.2,1.9,3.8,16.3
Festus Ezeli,25,20,0,183,5.3,9.8,0.54,0.0,0.0,,5.3,9.8,0.54,3.1,5.7,0.552,4.7,7.5,12.2,1.2,0.2,2.0,2.4,4.9,13.8
David Lee,31,13,0,107,5.4,13.5,0.4,0.0,0.0,,5.4,13.5,0.4,2.7,5.0,0.5329999999999999,3.7,7.7,11.4,2.7,1.0,0.7,0.7,5.7,13.5
Marreese Speights,27,10,0,67,7.5,22.6,0.33299999999999996,0.0,0.0,,7.5,22.6,0.33299999999999996,4.8,8.1,0.6,4.3,7.0,11.3,2.1,2.1,1.6,2.1,7.5,19.9
Justin Holiday,25,5,0,11,3.3,6.5,0.5,3.3,3.3,1.0,0.0,3.3,0.0,0.0,0.0,,0.0,3.3,3.3,3.3,0.0,0.0,6.5,3.3,9.8
James Michael McAdoo,22,5,0,10,7.2,10.8,0.667,0.0,0.0,,7.2,10.8,0.667,0.0,0.0,,3.6,10.8,14.4,0.0,0.0,3.6,3.6,0.0,14.4
Brandon Rush,29,3,0,7,5.1,30.9,0.16699999999999998,5.1,10.3,0.5,0.0,20.6,0.0,0.0,0.0,,5.1,10.3,15.4,0.0,0.0,0.0,0.0,10.3,15.4
