Season,Team ID,Team ABV,Team,Number,Player,Pos,Height,Weight,Birth Date,Nationality,Experience,College
2008,16,MIA,Miami Heat,6,Blake Ahearn,PG,6-2,190,1984-05-27,US,R,Missouri State University
2008,16,MIA,Miami Heat,50,Joel Anthony,PF,6-9,245,1982-08-09,CA,R,UNLV
2008,16,MIA,Miami Heat,5,Marcus Banks,PG,6-2,200,1981-11-19,US,4,UNLV
2008,16,MIA,Miami Heat,30,Earl Barron,C,7-0,250,1981-08-14,US,2,Memphis
2008,16,MIA,Miami Heat,15,Mark Blount,C,7-0,230,1975-11-30,US,7,Pitt
2008,16,MIA,Miami Heat,14,Daequan Cook,SG,6-5,205,1987-04-28,US,R,Ohio State
2008,16,MIA,Miami Heat,31,Ricky Davis,SF,6-6,195,1979-09-23,US,9,Iowa
2008,16,MIA,Miami Heat,7,Anfernee Hardaway,SF,6-7,195,1971-07-18,US,13,Memphis
2008,16,MIA,Miami Heat,40,Udonis Haslem,PF,6-8,235,1980-06-09,US,4,Florida
2008,16,MIA,Miami Heat,6,Luke Jackson,SF,6-7,215,1981-11-06,US,3,Oregon
2008,16,MIA,Miami Heat,13,Alexander Johnson,PF,6-9,240,1983-02-08,US,1,Florida State
2008,16,MIA,Miami Heat,21,Bobby Jones,SF,6-7,215,1984-01-09,US,1,Washington
2008,16,MIA,Miami Heat,45,Stephane Lasme,PF,6-8,215,1982-12-17,GA,R,UMass
2008,16,MIA,Miami Heat,7,Shawn Marion,PF,6-7,220,1978-05-07,US,8,UNLV
2008,16,MIA,Miami Heat,33,Alonzo Mourning,C,6-10,240,1970-02-08,US,14,Georgetown
2008,16,MIA,Miami Heat,32,Shaquille O'Neal,C,7-1,325,1972-03-06,US,15,LSU
2008,16,MIA,Miami Heat,21,Smush Parker,PG,6-4,190,1981-06-01,US,4,Fordham
2008,16,MIA,Miami Heat,12,Kasib Powell,SF,6-7,215,1981-03-18,US,R,Texas Tech
2008,16,MIA,Miami Heat,11,Chris Quinn,PG,6-2,185,1983-09-27,US,1,Notre Dame
2008,16,MIA,Miami Heat,3,Dwyane Wade,SG,6-4,220,1982-01-17,US,4,Marquette
2008,16,MIA,Miami Heat,55,Jason Williams,PG,6-1,190,1975-11-18,US,9,"Marshall, Florida"
2008,16,MIA,Miami Heat,1,Dorell Wright,SF,6-9,205,1985-12-02,US,3,
