SEASON,TEAM ID,TEAM,PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2020,23,PHI,Tobias Harris,27,4,149,14.7,0.46,0.25,0.32,9.9,17.8,13.7,19.9,0.7,0.6,6.8,21.5,0.1,0.0,0.1,0.04,1.7,-0.9,0.8,0.1
2020,23,PHI,Joel Embiid,25,4,145,26.6,0.6,0.22,0.8,8.0,28.9,18.2,7.5,2.1,3.2,13.0,34.6,0.3,0.2,0.5,0.16,5.1,1.0,6.2,0.3
2020,23,PHI,Josh Richardson,26,4,144,11.8,0.52,0.5,0.32,2.9,8.4,5.6,16.3,0.7,1.3,11.1,21.8,0.1,0.0,0.1,0.03,0.5,-0.7,-0.1,0.1
2020,23,PHI,Al Horford,33,4,129,10.7,0.5,0.16,0.28,7.3,17.1,12.1,11.6,0.4,3.6,9.7,10.5,0.1,0.0,0.1,0.05,-2.0,0.4,-1.7,0.0
2020,23,PHI,Shake Milton,23,4,126,13.3,0.62,0.57,0.16,0.8,10.5,5.5,16.6,0.8,0.0,11.3,18.4,0.2,0.0,0.2,0.07,1.4,-0.2,1.3,0.1
2020,23,PHI,Alec Burks,28,4,95,9.4,0.4,0.33,0.18,7.7,9.3,8.5,14.1,0.5,3.0,5.4,25.7,-0.1,0.0,-0.1,-0.06,-0.8,-2.7,-3.5,0.0
2020,23,PHI,Matisse Thybulle,22,4,75,4.1,0.5,0.57,0.0,1.4,8.8,5.0,4.1,2.0,1.2,22.2,5.2,0.0,0.0,0.0,-0.01,-4.5,1.5,-3.1,0.0
2020,23,PHI,Furkan Korkmaz,22,4,40,-4.6,0.16,0.86,0.71,0.0,16.6,8.1,7.2,1.3,0.0,17.9,12.2,-0.2,0.0,-0.2,-0.19,-9.8,-2.0,-11.8,-0.1
2020,23,PHI,Raul Neto,27,2,26,8.9,0.44,0.56,0.0,0.0,12.7,6.2,20.0,1.9,0.0,10.0,16.8,0.0,0.0,0.0,-0.02,-0.1,-1.5,-1.6,0.0
2020,23,PHI,Mike Scott,31,4,20,12.6,0.44,0.4,0.8,10.5,33.1,21.5,7.8,0.0,0.0,0.0,14.7,0.0,0.0,0.0,0.09,-1.2,-0.9,-2.2,0.0
2020,23,PHI,Norvel Pelle,26,1,7,14.3,,,,0.0,0.0,0.0,0.0,7.2,13.4,,0.0,0.0,0.0,0.0,0.11,-0.6,6.6,6.0,0.0
2020,23,PHI,Kyle O'Quinn,29,1,6,-19.7,,,,0.0,18.4,9.0,24.1,0.0,0.0,100.0,14.5,-0.1,0.0,-0.1,-0.42,-27.0,0.9,-26.1,0.0
