TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
MIA,55,27,.671,—,95.0,90.0,5.09
NYK,43,39,.524,12.0,91.6,89.1,2.74
NJN,43,39,.524,12.0,99.6,98.1,1.88
WAS,42,40,.512,13.0,97.2,96.6,1.11
ORL,41,41,.500,14.0,90.1,91.2,-0.53
BOS,36,46,.439,19.0,95.9,98.5,-1.96
PHI,31,51,.378,24.0,93.3,95.7,-1.89
CHI,62,20,.756,—,96.7,89.6,7.24
IND,58,24,.707,4.0,96.0,89.9,6.25
CHO,51,31,.622,11.0,96.6,94.6,2.45
ALT,50,32,.610,12.0,95.9,92.3,3.85
CLE,47,35,.573,15.0,92.5,89.8,3.06
DET,37,45,.451,25.0,94.2,92.6,1.95
MIL,36,46,.439,26.0,94.5,96.4,-1.33
TOR,16,66,.195,46.0,94.9,104.2,-8.33
