TEAM,W,L,W/L%,GB,PS/G,PA/G,SRS
NJN,49,33,.598,—,93.8,92.4,1.11
PHI,38,44,.463,11.0,99.4,101.3,-2.10
BOS,33,49,.402,16.0,98.0,99.5,-1.59
TOR,27,55,.329,22.0,101.1,104.0,-3.03
NYK,23,59,.280,26.0,95.6,102.0,-6.30
DET,64,18,.780,—,96.8,90.2,6.24
CLE,50,32,.610,14.0,97.6,95.4,2.17
IND,41,41,.500,23.0,93.9,92.0,1.62
CHI,41,41,.500,23.0,97.8,97.2,0.51
MIL,40,42,.488,24.0,97.8,98.8,-1.07
MIA,52,30,.634,—,99.9,96.0,3.59
WAS,42,40,.512,10.0,101.7,99.8,1.57
ORL,36,46,.439,16.0,94.9,96.0,-1.26
CHA,26,56,.317,26.0,96.9,100.9,-3.90
ALT,26,56,.317,26.0,97.2,102.0,-4.69
