Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
1987,8,DEN,Denver Nuggets,Fat Lever,26,3,3,99,8.5,22.3,0.38,0.9,3.6,0.25,7.6,18.8,0.4,2.7,4.0,0.67,2.2,5.8,8.0,9.8,3.1,0.0,0.9,3.1,20.5,,104,122
1987,8,DEN,Denver Nuggets,Blair Rasmussen,24,3,3,92,10.6,21.6,0.49,0.0,0.0,,10.6,21.6,0.49,2.4,4.8,0.5,3.8,7.2,11.1,3.4,1.0,1.0,2.4,5.8,23.5,,101,125
1987,8,DEN,Denver Nuggets,Alex English,33,3,3,76,14.5,28.5,0.51,0.0,0.0,,14.5,28.5,0.51,3.5,4.1,0.86,5.8,2.3,8.1,5.8,0.0,0.0,4.7,5.2,32.6,,104,131
1987,8,DEN,Denver Nuggets,Bill Hanzlik,29,3,2,76,4.7,14.5,0.32,0.0,1.2,0.0,4.7,13.4,0.35,5.2,8.7,0.6,0.0,3.5,3.5,4.1,2.3,0.0,1.7,3.5,14.5,,86,125
1987,8,DEN,Denver Nuggets,Danny Schayes,27,3,0,75,7.1,10.0,0.71,0.0,0.0,,7.1,10.0,0.71,3.5,5.3,0.67,3.5,6.5,10.0,1.2,0.6,1.2,1.8,5.9,17.7,,130,126
1987,8,DEN,Denver Nuggets,Darrell Walker,25,3,3,68,7.2,22.1,0.32,0.0,0.0,,7.2,22.1,0.32,2.6,4.6,0.57,2.0,4.6,6.5,3.3,1.3,0.0,2.6,2.6,16.9,,76,127
1987,8,DEN,Denver Nuggets,Mike Evans,31,3,0,57,5.4,14.7,0.37,1.6,5.4,0.29,3.9,9.3,0.42,1.6,1.6,1.0,1.6,3.9,5.4,6.2,2.3,0.0,2.3,4.7,14.0,,96,125
1987,8,DEN,Denver Nuggets,Maurice Martin,22,3,0,54,9.8,23.7,0.41,0.0,0.8,0.0,9.8,22.9,0.43,5.7,9.8,0.58,3.3,4.1,7.4,8.2,0.0,0.8,4.1,9.8,25.4,,94,129
1987,8,DEN,Denver Nuggets,Mark Alarie,23,3,0,41,9.7,16.2,0.6,0.0,0.0,,9.7,16.2,0.6,2.2,2.2,1.0,0.0,5.4,5.4,1.1,2.2,2.2,4.3,9.7,21.6,,97,122
1987,8,DEN,Denver Nuggets,Wayne Cooper,30,3,1,41,5.4,12.9,0.42,0.0,0.0,,5.4,12.9,0.42,2.2,2.2,1.0,6.5,11.9,18.3,2.2,0.0,1.1,1.1,9.7,12.9,,110,124
1987,8,DEN,Denver Nuggets,T.R. Dunn,31,3,0,22,2.0,8.0,0.25,0.0,0.0,,2.0,8.0,0.25,0.0,0.0,,2.0,4.0,6.0,4.0,2.0,2.0,2.0,6.0,4.0,,67,124
1987,8,DEN,Denver Nuggets,Otis Smith,23,3,0,19,4.7,14.0,0.33,0.0,0.0,,4.7,14.0,0.33,14.0,20.9,0.67,2.3,9.3,11.6,9.3,0.0,4.7,9.3,2.3,23.3,,86,122
