Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
,,1988,,,Anthony Miller,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,14.0,2274,LAL,Los Angeles Lakers,Anthony Peeler,26.0,3.0,0.0,24.0,3.0,9.0,0.33,2.0,4.7,0.43,1.0,4.3,0.23,0.44,1.3,1.3,1.0,0.7,2.0,2.7,1.0,2.0,0.0,1.0,2.0,9.3
1996.0,14.0,508,LAL,Los Angeles Lakers,Cedric Ceballos,26.0,4.0,4.0,35.5,7.5,15.5,0.48,1.3,4.0,0.31,6.3,11.5,0.54,0.52,2.8,3.0,0.92,2.8,5.5,8.3,1.3,1.0,0.3,2.0,2.3,19.0
,,270,,,Corie Blount,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2776,,,Derek Strong,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,14.0,1542,LAL,Los Angeles Lakers,Eddie Jones,24.0,4.0,4.0,38.8,6.8,12.3,0.55,2.5,4.8,0.53,4.3,7.5,0.57,0.65,1.3,2.0,0.62,1.8,3.5,5.3,1.5,2.0,0.3,1.0,4.0,17.3
1996.0,14.0,463,LAL,Los Angeles Lakers,Elden Campbell,27.0,4.0,4.0,32.3,5.0,9.8,0.51,0.0,0.3,0.0,5.0,9.5,0.53,0.51,2.0,4.0,0.5,0.8,7.3,8.0,2.0,0.3,2.3,2.5,4.3,12.0
,,1617,,,Frankie King,,,,,,,,,,,,,,,,,,,,,,,,,,
1996.0,14.0,2461,LAL,Los Angeles Lakers,Fred Roberts,35.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,2.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
1996.0,14.0,1791,LAL,Los Angeles Lakers,George Lynch,25.0,2.0,0.0,7.5,1.0,2.0,0.5,0.0,0.5,0.0,1.0,1.5,0.67,0.5,0.0,0.0,,0.0,1.5,1.5,0.5,0.0,0.0,1.0,2.0,2.0
1996.0,14.0,1503,LAL,Los Angeles Lakers,Magic Johnson,36.0,4.0,0.0,33.8,3.8,9.8,0.38,0.8,2.3,0.33,3.0,7.5,0.4,0.42,7.0,8.3,0.85,2.0,6.5,8.5,6.5,0.0,0.0,3.0,0.8,15.3
1996.0,14.0,2949,LAL,Los Angeles Lakers,Nick Van Exel,24.0,4.0,4.0,34.3,4.0,13.5,0.3,1.3,4.0,0.31,2.8,9.5,0.29,0.34,2.5,3.3,0.77,1.0,3.0,4.0,6.8,0.5,0.0,2.8,2.5,11.8
1996.0,14.0,2882,LAL,Los Angeles Lakers,Sedale Threatt,34.0,4.0,0.0,14.3,1.0,4.5,0.22,0.5,2.8,0.18,0.5,1.8,0.29,0.28,0.0,0.0,,0.3,0.5,0.8,1.0,0.5,0.0,0.8,1.0,2.5
1996.0,14.0,753,LAL,Los Angeles Lakers,Vlade Divac,27.0,4.0,4.0,28.8,3.8,8.8,0.43,0.3,1.3,0.2,3.5,7.5,0.47,0.44,1.3,2.0,0.62,2.8,4.8,7.5,2.0,0.0,1.3,2.0,2.5,9.0
