NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
23,T.R. Dunn,SG,6-4,192,1955-02-01,US,3,Alabama
2,Alex English,SF,6-7,190,1954-01-05,US,4,South Carolina
22,Glen Gondrezick,PF,6-6,218,1955-08-30,US,3,UNLV
1,Kenny Higgs,PG,6-0,180,1955-01-31,US,1,LSU
34,Cedrick Hordges,PF,6-8,220,1957-01-08,US,R,"Auburn, South Carolina"
35,Kim Hughes,C,6-11,220,1952-06-04,US,5,Wisconsin
44,Dan Issel,C,6-9,235,1948-10-25,US,10,Kentucky
7,Billy McKinney,PG,6-0,160,1955-06-05,US,2,Northwestern
3,Carl Nicks,PG,6-1,175,1958-10-06,US,R,Indiana State University
45,Jawann Oldham,C,7-0,215,1957-07-04,US,R,Seattle University
43,James Ray,PF,6-8,215,1957-07-27,US,R,Jacksonville University
25,Dave Robisch,C,6-10,235,1949-12-22,US,9,Kansas
10,John Roche,PG,6-3,170,1949-09-26,US,6,South Carolina
33,David Thompson,SG,6-4,195,1954-07-13,US,5,NC State
42,Ronnie Valentine,SF,6-7,210,1957-11-27,US,R,Old Dominion
55,Kiki Vandeweghe,SF,6-8,220,1958-08-01,DE,R,UCLA
