PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Jason Kidd,36,6,6,243,3.1,10.3,0.304,2.0,6.3,0.321,1.1,4.0,0.278,2.5,2.7,0.917,1.3,7.8,9.2,9.4,3.1,0.2,2.0,3.4,10.7,,111,103
Dirk Nowitzki,31,6,6,233,13.5,24.7,0.547,0.9,1.6,0.5710000000000001,12.6,23.1,0.545,9.3,9.8,0.9520000000000001,1.6,9.8,11.4,4.2,1.2,0.9,2.3,3.5,37.3,,130,105
Caron Butler,29,6,6,202,11.6,26.6,0.434,1.9,6.2,0.304,9.7,20.4,0.474,6.7,7.3,0.9259999999999999,0.8,8.6,9.4,2.2,2.4,1.3,4.0,4.3,31.7,,101,103
Jason Terry,32,6,0,174,8.1,21.5,0.377,3.7,9.4,0.4,4.4,12.2,0.359,3.7,5.0,0.75,0.6,4.1,4.7,3.7,1.2,0.3,1.9,5.0,23.7,,105,109
Shawn Marion,31,6,6,148,8.8,21.7,0.40700000000000003,0.0,1.5,0.0,8.8,20.2,0.436,1.5,1.8,0.8,2.6,6.6,9.2,2.2,0.4,1.1,2.9,4.4,19.1,,87,109
Brendan Haywood,30,6,2,139,4.7,8.2,0.5710000000000001,0.0,0.0,,4.7,8.2,0.5710000000000001,4.7,7.8,0.6,7.0,7.4,14.5,1.2,2.7,3.9,1.2,5.5,14.1,,132,100
Erick Dampier,34,5,4,118,0.0,3.7,0.0,0.0,0.0,,0.0,3.7,0.0,2.3,5.5,0.41700000000000004,8.3,6.9,15.2,1.4,0.5,2.3,2.8,8.7,2.3,,77,107
J.J. Barea,25,6,0,105,7.8,19.1,0.405,2.1,5.2,0.4,5.7,14.0,0.40700000000000003,0.5,1.6,0.33299999999999996,2.1,4.1,6.2,7.8,1.0,0.5,5.2,6.7,18.1,,89,109
Eduardo Nájera,33,5,0,36,3.0,12.1,0.25,0.0,7.5,0.0,3.0,4.5,0.667,0.0,0.0,,7.5,6.0,13.6,0.0,3.0,0.0,1.5,12.1,6.0,,77,104
Rodrigue Beaubois,21,4,0,31,15.8,33.3,0.474,3.5,10.5,0.33299999999999996,12.3,22.8,0.5379999999999999,1.8,5.3,0.33299999999999996,3.5,7.0,10.5,7.0,0.0,0.0,5.3,8.8,36.8,,100,110
DeShawn Stevenson,28,2,0,6,0.0,27.2,0.0,0.0,27.2,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,,0,113
Matt Carroll,29,1,0,5,10.9,10.9,1.0,0.0,0.0,,10.9,10.9,1.0,0.0,0.0,,0.0,10.9,10.9,0.0,0.0,0.0,0.0,0.0,21.7,,200,108
