Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,23.0,ORL,NBA,C,6.0,0.0,41.0,7.0,14.9,0.471,0.0,0.0,,7.0,14.9,0.471,1.8,2.6,0.667,7.0,7.0,14.0,1.8,0.9,0.9,1.8,3.5,15.8
2009,24.0,ORL,NBA,PF,63.0,3.0,794.0,4.8,8.5,0.567,0.0,0.0,1.0,4.8,8.4,0.565,1.2,2.0,0.578,4.4,8.6,13.0,0.6,0.8,2.4,1.1,5.0,10.8
2010,25.0,ORL,NBA,C,81.0,0.0,1088.0,4.0,7.5,0.533,0.0,0.1,0.0,4.0,7.4,0.54,1.7,2.5,0.68,3.4,7.8,11.3,0.6,0.6,2.3,1.5,4.6,9.7
2011,26.0,TOT,NBA,C,80.0,14.0,2032.0,6.0,10.7,0.561,0.0,0.1,0.25,6.0,10.6,0.563,2.5,3.4,0.725,2.6,8.6,11.2,1.2,0.6,1.6,1.4,3.3,14.5
2011,26.0,ORL,NBA,C,25.0,2.0,396.0,4.0,7.4,0.543,0.0,0.0,,4.0,7.4,0.543,1.1,1.6,0.667,3.5,7.3,10.7,1.5,0.6,1.9,1.5,4.7,9.1
2011,26.0,PHO,NBA,C,55.0,12.0,1636.0,6.5,11.5,0.563,0.0,0.1,0.25,6.4,11.4,0.566,2.8,3.9,0.731,2.4,8.9,11.3,1.2,0.6,1.5,1.4,3.0,15.8
2012,27.0,PHO,NBA,C,66.0,66.0,2114.0,7.3,13.1,0.555,0.0,0.0,0.0,7.3,13.1,0.557,2.8,4.3,0.649,3.2,8.1,11.2,1.0,0.8,1.7,1.5,2.4,17.3
2013,28.0,PHO,NBA,C,61.0,61.0,1876.0,5.7,10.9,0.521,0.0,0.1,0.0,5.7,10.8,0.524,1.7,2.6,0.652,2.5,7.4,9.9,1.4,0.8,1.9,1.9,2.4,13.0
2014,29.0,WAS,NBA,C,81.0,80.0,2655.0,6.2,11.4,0.542,0.0,0.0,1.0,6.2,11.4,0.541,2.1,3.1,0.686,2.7,7.7,10.4,1.9,0.6,1.6,1.7,2.7,14.5
2015,30.0,WAS,NBA,C,82.0,82.0,2453.0,6.4,11.4,0.566,0.0,0.0,0.0,6.4,11.3,0.569,1.8,2.6,0.703,2.6,7.9,10.5,1.4,0.7,1.6,1.5,2.8,14.7
2016,31.0,WAS,NBA,C,75.0,74.0,2256.0,6.9,12.2,0.567,0.0,0.0,0.0,6.9,12.2,0.567,2.3,3.3,0.705,3.5,8.3,11.8,1.7,0.7,1.5,1.9,3.1,16.1
2017,32.0,WAS,NBA,C,82.0,82.0,2556.0,5.5,9.5,0.579,0.0,0.0,0.0,5.5,9.5,0.58,1.5,2.2,0.648,3.4,8.6,12.0,1.7,0.6,0.9,1.7,3.0,12.4
2018,33.0,WAS,NBA,C,82.0,82.0,2075.0,5.0,9.7,0.518,0.0,0.0,,5.0,9.7,0.518,1.9,2.8,0.675,3.1,7.7,10.8,2.6,0.7,1.1,1.7,3.0,12.0
2019,34.0,LAC,NBA,C,47.0,43.0,751.0,4.7,8.9,0.532,0.0,0.0,,4.7,8.9,0.532,1.7,2.3,0.729,3.2,9.3,12.5,3.1,0.3,1.2,2.4,4.4,11.2
