SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2015,10,GSW,Stephen Curry,26,80,80,2613,9.0,18.5,0.49,3.9,8.9,0.44,5.1,9.6,0.53,4.2,4.6,0.91,0.8,3.9,4.7,8.5,2.2,0.2,3.4,2.2,26.2
2015,10,GSW,Draymond Green,24,79,79,2490,4.9,11.1,0.44,1.6,4.8,0.34,3.3,6.3,0.52,1.9,2.9,0.66,1.6,7.7,9.4,4.2,1.8,1.4,1.9,3.7,13.3
2015,10,GSW,Klay Thompson,24,77,77,2455,8.8,19.0,0.46,3.5,8.0,0.44,5.3,11.1,0.48,3.3,3.8,0.88,0.4,3.2,3.6,3.3,1.3,0.9,2.2,1.8,24.5
2015,10,GSW,Harrison Barnes,22,82,82,2318,4.9,10.2,0.48,1.4,3.3,0.4,3.6,6.8,0.52,1.7,2.3,0.72,1.8,5.2,7.0,1.8,0.9,0.3,1.1,2.3,12.8
2015,10,GSW,Andre Iguodala,31,77,0,2069,4.0,8.6,0.47,1.3,3.7,0.35,2.7,4.9,0.55,1.2,2.0,0.6,0.8,3.7,4.5,4.0,1.5,0.4,1.5,1.7,10.5
2015,10,GSW,Andrew Bogut,30,67,65,1583,4.5,8.1,0.56,0.0,0.0,,4.5,8.1,0.56,0.5,1.0,0.52,3.2,9.1,12.3,4.1,0.9,2.6,2.4,4.3,9.6
2015,10,GSW,Shaun Livingston,29,78,2,1468,4.9,9.7,0.5,0.0,0.0,0.0,4.9,9.7,0.5,1.6,2.2,0.71,1.1,3.4,4.5,6.4,1.2,0.5,2.5,2.7,11.3
2015,10,GSW,Marreese Speights,27,76,9,1207,9.5,19.3,0.49,0.1,0.5,0.28,9.3,18.7,0.5,4.5,5.3,0.84,3.3,6.4,9.7,2.1,0.6,1.0,2.4,5.6,23.6
2015,10,GSW,Leandro Barbosa,32,66,1,982,6.7,14.2,0.47,1.6,4.1,0.38,5.1,10.0,0.51,2.1,2.7,0.78,0.8,2.5,3.3,3.6,1.5,0.3,1.6,3.2,17.1
2015,10,GSW,David Lee,31,49,4,904,6.4,12.5,0.51,0.0,0.1,0.0,6.4,12.4,0.51,2.7,4.1,0.65,3.2,7.0,10.2,3.4,1.2,1.0,2.0,3.3,15.5
2015,10,GSW,Justin Holiday,25,59,4,657,5.0,12.9,0.39,1.9,6.0,0.32,3.1,6.9,0.44,2.0,2.5,0.82,0.7,3.3,4.0,2.6,2.2,0.7,1.6,3.0,13.9
2015,10,GSW,Festus Ezeli,25,46,7,504,5.4,9.9,0.55,0.0,0.0,,5.4,9.9,0.55,3.5,5.6,0.63,4.3,6.8,11.1,0.6,0.5,3.0,2.3,5.5,14.4
2015,10,GSW,Brandon Rush,29,33,0,271,1.5,7.2,0.2,0.4,3.6,0.11,1.1,3.6,0.3,0.7,1.5,0.46,0.5,4.9,5.4,1.6,0.7,1.6,1.5,3.6,4.0
2015,10,GSW,James Michael McAdoo,22,15,0,137,6.3,11.6,0.55,0.0,0.0,,6.3,11.6,0.55,3.7,6.6,0.56,3.9,5.8,9.7,0.5,1.3,2.4,1.6,5.5,16.3
2015,10,GSW,Ognjen Kuzmic,24,16,0,72,4.0,6.0,0.67,0.0,0.0,,4.0,6.0,0.67,2.0,2.0,1.0,3.5,5.0,8.5,3.0,1.0,0.5,2.5,6.5,10.0
