PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Thaddeus Young,29,81,81,2607,8.1,16.6,0.48700000000000004,1.1,3.5,0.32,7.0,13.1,0.531,1.1,1.8,0.598,3.5,6.3,9.8,2.9,2.6,0.7,2.0,3.4,18.3,,108.0,107
Victor Oladipo,25,75,75,2552,12.5,26.3,0.47700000000000004,3.2,8.5,0.371,9.4,17.8,0.528,5.8,7.2,0.799,0.9,6.7,7.6,6.3,3.5,1.1,4.3,3.4,34.0,,110.0,104
Bojan Bogdanović,28,80,80,2464,8.2,17.3,0.474,3.1,7.8,0.402,5.1,9.5,0.534,3.6,4.2,0.868,0.6,4.9,5.5,2.4,1.1,0.2,2.2,2.6,23.1,,114.0,112
Cory Joseph,26,82,17,2210,5.8,13.7,0.424,1.5,4.3,0.353,4.3,9.4,0.457,1.6,2.1,0.745,0.9,5.1,5.9,5.9,1.8,0.4,2.0,3.2,14.7,,106.0,110
Darren Collison,30,69,64,2018,7.8,15.8,0.495,2.4,5.1,0.46799999999999997,5.4,10.7,0.508,3.1,3.6,0.882,0.9,3.5,4.4,9.1,2.3,0.4,2.1,3.0,21.2,,126.0,110
Lance Stephenson,27,82,7,1850,8.2,19.2,0.42700000000000005,1.8,6.3,0.289,6.4,12.9,0.495,2.3,3.4,0.6609999999999999,1.7,9.8,11.5,6.3,1.2,0.5,3.5,4.8,20.5,,99.0,108
Myles Turner,21,65,62,1836,8.3,17.4,0.479,1.5,4.3,0.35700000000000004,6.8,13.1,0.519,4.4,5.6,0.777,2.5,8.8,11.4,2.4,1.0,3.2,2.6,5.1,22.5,,110.0,106
Domantas Sabonis,21,74,19,1810,9.4,18.3,0.514,0.4,1.0,0.35100000000000003,9.0,17.2,0.524,4.6,6.2,0.75,4.6,11.2,15.8,4.2,1.1,0.9,3.8,6.1,23.8,,110.0,107
Joe Young,25,53,1,558,7.2,16.7,0.43,2.2,5.9,0.379,4.9,10.7,0.45799999999999996,2.0,2.6,0.759,1.1,4.6,5.6,3.5,1.3,0.1,2.3,3.5,18.5,,102.0,112
Al Jefferson,33,36,1,484,11.5,21.5,0.534,0.0,0.3,0.0,11.5,21.2,0.541,3.1,3.7,0.833,3.1,11.7,14.8,3.1,1.7,2.4,2.2,6.8,26.0,,113.0,104
T.J. Leaf,20,53,0,459,7.0,14.8,0.47100000000000003,2.0,4.6,0.429,5.0,10.2,0.489,1.1,1.7,0.625,3.2,5.8,8.9,1.0,0.5,0.4,1.1,4.9,17.0,,113.0,112
Glenn Robinson,24,23,1,338,5.3,12.6,0.424,2.1,5.0,0.41200000000000003,3.3,7.5,0.431,1.3,1.6,0.818,1.6,3.8,5.5,2.5,1.9,0.1,0.7,2.1,14.0,,114.0,111
Trevor Booker,30,17,1,269,7.2,15.6,0.46399999999999997,0.6,2.6,0.214,6.7,13.0,0.514,1.9,2.0,0.909,5.9,8.4,14.3,3.2,0.7,0.9,1.7,4.8,16.9,,115.0,110
Damien Wilkins,38,19,1,152,4.3,12.8,0.33299999999999996,1.3,5.9,0.222,3.0,6.9,0.429,1.0,1.3,0.75,1.6,3.6,5.3,3.0,0.7,0.3,1.6,2.3,10.9,,89.0,113
Alex Poythress,24,25,0,104,5.3,12.5,0.423,1.9,5.3,0.364,3.4,7.2,0.467,0.0,0.0,,3.4,4.8,8.2,1.0,1.4,0.5,1.0,7.7,12.5,,108.0,110
Ike Anigbogu,19,11,0,30,6.7,15.0,0.444,0.0,0.0,,6.7,15.0,0.444,8.3,10.0,0.833,8.3,6.7,15.0,0.0,1.7,5.0,3.3,1.7,21.7,,114.0,104
Ben Moore,22,2,0,9,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,5.6,5.6,5.6,0.0,0.0,0.0,22.2,0.0,,222.0,113
Edmond Sumner,22,1,0,2,25.0,25.0,1.0,0.0,0.0,,25.0,25.0,1.0,0.0,0.0,,0.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,50.0,,200.0,101
Trey McKinney-Jones,27,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,117
