PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Michael Jordan,31,10,10,420,10.3,21.3,0.484,0.9,2.6,0.36700000000000005,9.3,18.7,0.5,5.5,6.8,0.81,1.7,3.9,5.6,3.9,2.0,1.2,3.5,2.6,27.0
Scottie Pippen,29,10,10,396,5.3,11.9,0.44299999999999995,1.3,3.5,0.368,4.0,8.5,0.473,4.4,6.5,0.6759999999999999,2.2,5.6,7.8,5.3,1.3,0.9,2.5,3.6,16.2
Toni Kukoč,26,10,10,372,5.1,10.7,0.47700000000000004,1.4,3.1,0.43799999999999994,3.8,7.6,0.494,1.7,2.5,0.6920000000000001,1.9,4.6,6.6,5.5,1.0,0.2,1.8,2.2,13.4
B.J. Armstrong,27,10,10,288,4.5,9.9,0.456,1.6,3.6,0.44799999999999995,2.9,6.2,0.46,2.3,2.7,0.818,0.5,1.7,2.3,3.4,0.7,0.0,0.7,2.6,12.9
Luc Longley,26,10,8,204,4.2,8.8,0.48,0.0,0.0,,4.2,8.8,0.48,1.4,1.8,0.8,1.1,4.6,5.6,1.9,1.2,0.9,1.8,7.2,9.9
Steve Kerr,29,10,0,193,3.5,7.5,0.475,1.5,3.5,0.42100000000000004,2.1,3.9,0.524,0.9,0.9,1.0,0.2,0.9,1.1,2.8,0.2,0.0,0.0,2.6,9.5
Will Perdue,29,10,2,176,3.9,7.6,0.514,0.0,0.0,,3.9,7.6,0.514,2.5,4.3,0.5710000000000001,3.7,6.1,9.8,1.2,0.2,0.6,2.0,5.5,10.2
Bill Wennington,31,10,0,133,5.7,13.8,0.41200000000000003,0.0,0.0,,5.7,13.8,0.41200000000000003,1.6,1.6,1.0,3.2,4.3,7.6,0.8,0.8,0.8,2.2,8.7,13.0
Jud Buechler,26,10,0,104,3.1,7.3,0.429,0.0,0.7,0.0,3.1,6.6,0.474,0.7,1.4,0.5,3.8,3.1,6.9,1.7,1.4,1.0,1.0,5.2,6.9
Pete Myers,31,9,0,79,2.3,6.4,0.35700000000000004,0.5,0.9,0.5,1.8,5.5,0.33299999999999996,0.9,2.7,0.33299999999999996,2.7,1.8,4.6,3.6,1.8,0.5,1.8,4.6,5.9
Ron Harper,31,6,0,40,5.4,12.6,0.429,0.0,1.8,0.0,5.4,10.8,0.5,0.0,0.0,,1.8,3.6,5.4,3.6,2.7,0.9,0.9,5.4,10.8
Corie Blount,26,8,0,20,0.0,5.4,0.0,0.0,1.8,0.0,0.0,3.6,0.0,0.0,0.0,,1.8,7.2,9.0,0.0,0.0,0.0,1.8,9.0,0.0
