Season,Team ID,Team ABV,Team,W,L,W/L%,GB,PS/G,PA/G,SRS
2009,2,BOS,Boston Celtics,62,20,.756,—,100.9,93.4,7.44
2009,23,PHI,Philadelphia 76Ers,41,41,.500,21.0,97.4,97.3,0.16
2009,3,NJN,New Jersey Nets,34,48,.415,28.0,98.1,100.5,-2.31
2009,28,TOR,Toronto Raptors,33,49,.402,29.0,99.0,101.9,-2.54
2009,20,NYK,New York Knicks,32,50,.390,30.0,105.2,107.8,-2.33
2009,6,CLE,Cleveland Cavaliers,66,16,.805,—,100.3,91.4,8.68
2009,5,CHI,Chicago Bulls,41,41,.500,25.0,102.2,102.5,-0.16
2009,9,DET,Detroit Pistons,39,43,.476,27.0,94.2,94.7,-0.36
2009,12,IND,Indiana Pacers,36,46,.439,30.0,105.1,106.2,-0.76
2009,17,MIL,Milwaukee Bucks,34,48,.415,32.0,99.3,100.4,-0.88
2009,22,ORL,Orlando Magic,59,23,.720,—,101.0,94.4,6.48
2009,1,ATL,Atlanta Hawks,47,35,.573,12.0,98.1,96.5,1.70
2009,16,MIA,Miami Heat,43,39,.524,16.0,98.3,98.0,0.49
2009,4,CHA,Charlotte Bobcats,35,47,.427,24.0,93.6,94.9,-1.20
2009,30,WAS,Washington Wizards,19,63,.232,40.0,96.1,103.5,-6.98
