Season,Team ID,Team ABV,Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
2015,1,ATL,Atlanta Hawks,,0-3,1-3,0-3,2-0,0-2,1-1,1-1,1-2,1-0,0-2,1-2,1-1,0-2,0-2,1-3,0-3,1-1,,1-2,0-1,2-2,1-2,1-1,1-1,0-1,2-0,0-3,0-1,1-2
2015,2,BOS,Boston Celtics,3-0,,2-2,2-0,3-0,4-0,2-0,1-1,1-1,2-0,0-2,1-1,1-1,1-1,2-0,2-1,1-2,1-0,1-1,3-0,1-1,3-0,1-3,1-1,2-0,1-1,1-1,3-1,1-1,1-2
2015,3,BRK,Brooklyn Nets,3-1,2-2,,3-0,3-1,1-0,0-1,1-1,2-1,1-0,1-1,1-2,1-0,1-1,0-2,1-2,1-1,0-2,2-0,2-2,0-1,1-3,1-3,1-1,1-1,2-0,1-1,1-3,0-2,1-2
2015,5,CHI,Chicago Bulls,3-0,0-2,0-3,,1-3,3-1,1-1,,4-0,0-2,0-1,0-4,1-0,0-1,2-0,0-2,0-4,1-1,0-2,1-2,0-2,0-1,0-2,0-1,0-2,1-1,1-0,0-3,0-1,3-1
2015,4,CHO,Charlotte Hornets,0-2,0-3,1-3,3-1,,1-1,1-1,0-2,4-0,2-0,1-1,1-3,0-1,0-1,0-2,1-1,0-3,1-1,0-1,3-0,0-1,0-2,0-1,0-2,0-1,2-0,0-2,1-2,0-2,1-2
2015,6,CLE,Cleveland Cavaliers,2-0,0-4,0-1,1-3,1-1,,0-2,2-0,2-2,0-1,0-1,1-2,0-2,0-1,1-1,1-3,0-3,1-1,0-2,1-3,0-2,0-3,1-3,,1-0,,2-0,0-3,0-1,2-1
2015,7,DAL,Dallas Mavericks,1-1,0-2,1-0,1-1,1-1,2-0,,2-1,1-0,3-0,1-2,1-1,0-3,1-3,2-1,0-2,2-0,3-0,4-0,0-2,1-1,2-0,2-0,1-3,2-2,3-1,3-1,1-1,1-2,1-1
2015,8,DEN,Denver Nuggets,1-1,1-1,1-1,,2-0,0-2,1-2,,1-1,1-1,2-2,1-1,1-2,1-3,2-1,1-1,2-0,4-0,1-2,2-0,2-1,2-0,1-1,4-0,3-1,2-1,2-0,1-1,3-0,1-1
2015,9,DET,Detroit Pistons,2-1,1-1,1-2,0-4,0-4,2-2,0-1,1-1,,1-0,1-0,3-1,0-1,0-1,0-2,0-1,0-3,0-1,1-1,1-2,0-2,1-1,0-3,2-0,0-1,1-1,1-1,0-3,0-2,1-3
2015,10,GSW,Golden State Warriors,0-1,0-2,0-1,2-0,0-2,1-0,0-3,1-1,0-1,,1-2,0-1,0-3,0-3,1-2,0-2,0-1,1-2,2-2,0-1,0-3,1-1,1-1,2-2,1-2,0-3,0-2,0-1,0-4,1-1
