Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1991,23.0,SAS,NBA,PF,35.0,0.0,161.0,6.0,13.4,0.45,0.0,0.0,,6.0,13.4,0.45,6.3,10.1,0.622,5.1,7.8,13.0,0.9,0.9,2.0,2.9,5.8,18.3
1992,24.0,TOT,NBA,PF,18.0,0.0,90.0,4.0,10.0,0.4,0.0,0.0,,4.0,10.0,0.4,3.6,6.0,0.6,2.8,7.2,10.0,0.0,0.4,0.4,3.6,8.4,11.6
1992,24.0,SAS,NBA,PF,1.0,0.0,9.0,4.0,20.0,0.2,0.0,0.0,,4.0,20.0,0.2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0
1992,24.0,CHH,NBA,PF,3.0,0.0,13.0,0.0,8.3,0.0,0.0,0.0,,0.0,8.3,0.0,2.8,5.5,0.5,2.8,8.3,11.1,0.0,2.8,0.0,11.1,5.5,2.8
1992,24.0,BOS,NBA,PF,7.0,0.0,46.0,3.1,7.0,0.444,0.0,0.0,,3.1,7.0,0.444,1.6,3.1,0.5,1.6,5.5,7.0,0.0,0.0,0.8,1.6,5.5,7.8
1992,24.0,GSW,NBA,PF,7.0,0.0,22.0,8.2,13.1,0.625,0.0,0.0,,8.2,13.1,0.625,9.8,14.7,0.667,6.5,13.1,19.6,0.0,0.0,0.0,4.9,16.4,26.2
1995,27.0,LAC,NBA,C,80.0,50.0,2127.0,4.8,10.2,0.469,0.0,0.1,0.0,4.8,10.1,0.472,3.0,4.0,0.753,2.7,5.0,7.7,1.1,0.8,1.0,2.0,4.3,12.5
1996,28.0,TOT,NBA,PF,54.0,28.0,1463.0,5.3,10.6,0.495,0.0,0.1,0.0,5.3,10.6,0.499,2.7,3.9,0.707,3.1,5.5,8.7,0.7,0.7,0.5,1.8,3.4,13.3
1996,28.0,TOR,NBA,PF,24.0,20.0,659.0,5.5,10.7,0.51,0.0,0.0,,5.5,10.7,0.51,2.3,3.6,0.662,2.8,6.2,9.1,1.0,0.7,0.5,1.9,3.7,13.3
1996,28.0,PHI,NBA,PF,30.0,8.0,804.0,5.1,10.6,0.483,0.0,0.1,0.0,5.1,10.4,0.489,3.0,4.1,0.739,3.4,5.0,8.3,0.5,0.7,0.5,1.7,3.3,13.3
1997,29.0,NJN,NBA,PF,79.0,49.0,1954.0,4.0,8.3,0.485,0.0,0.0,0.0,4.0,8.3,0.486,2.4,3.8,0.631,4.1,5.4,9.5,0.4,0.7,0.9,1.7,4.0,10.5
1998,30.0,VAN,NBA,C,61.0,13.0,894.0,6.0,12.4,0.479,0.0,0.0,,6.0,12.4,0.479,4.0,5.5,0.73,3.2,6.1,9.3,0.8,1.0,1.0,2.4,5.0,15.9
1999,31.0,VAN,NBA,PF,43.0,35.0,1143.0,6.0,12.2,0.487,0.0,0.1,0.0,6.0,12.2,0.49,3.2,4.9,0.665,2.6,5.5,8.1,0.7,0.8,1.2,2.0,3.4,15.1
2001,33.0,VAN,NBA,PF,52.0,20.0,823.0,4.0,8.7,0.462,0.0,0.0,,4.0,8.7,0.462,2.1,3.1,0.7,3.3,5.9,9.2,0.4,0.4,1.2,2.1,5.3,10.2
2002,34.0,MEM,NBA,PF,73.0,31.0,1247.0,4.6,10.1,0.456,0.0,0.0,1.0,4.6,10.0,0.454,2.4,3.4,0.718,2.9,6.5,9.4,0.8,0.9,0.9,1.9,5.0,11.6
2003,35.0,UTA,NBA,C,58.0,1.0,792.0,4.7,10.5,0.448,0.0,0.0,,4.7,10.5,0.448,3.0,3.8,0.774,2.7,4.4,7.1,0.8,0.8,0.9,2.3,6.5,12.4
2004,36.0,SAC,NBA,PF,59.0,0.0,789.0,4.7,10.0,0.475,0.0,0.0,0.0,4.7,9.9,0.477,2.0,2.9,0.683,2.6,6.0,8.6,1.3,0.6,0.8,2.1,6.6,11.5
2005,37.0,SAS,NBA,PF,61.0,6.0,699.0,3.8,9.4,0.407,0.0,0.0,,3.8,9.4,0.407,2.5,3.2,0.762,2.8,5.6,8.4,0.7,0.9,1.0,2.1,6.3,10.1
