Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005.0,23.0,1942,PHI,Philadelphia 76Ers,Aaron McKie,32.0,5.0,0.0,85.0,1.3,3.0,0.43,0.4,1.3,0.33,0.8,1.7,0.5,0.0,0.0,,0.4,4.7,5.1,2.1,1.7,0.0,0.4,3.8,3.0
2005.0,23.0,1390,PHI,Philadelphia 76Ers,Allen Iverson,29.0,5.0,5.0,238.0,8.9,19.1,0.47,1.8,4.4,0.41,7.1,14.7,0.48,3.9,4.4,0.9,0.0,1.7,1.7,7.6,1.5,0.3,3.2,1.8,23.6
2005.0,23.0,1376,PHI,Philadelphia 76Ers,Andre Iguodala,21.0,5.0,5.0,192.0,3.7,8.1,0.46,0.6,1.7,0.33,3.2,6.4,0.5,1.1,2.3,0.5,1.5,2.8,4.3,2.8,2.6,0.9,0.9,2.3,9.2
2005.0,23.0,3054,PHI,Philadelphia 76Ers,Chris Webber,31.0,5.0,5.0,186.0,7.5,18.4,0.41,1.0,2.7,0.36,6.6,15.7,0.42,2.3,3.1,0.75,2.3,3.3,5.6,2.7,1.2,0.2,2.1,3.9,18.4
2005.0,23.0,2541,PHI,Philadelphia 76Ers,John Salmons,25.0,2.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
2005.0,23.0,691,PHI,Philadelphia 76Ers,Josh Davis,24.0,2.0,0.0,4.0,0.0,9.0,0.0,0.0,9.0,0.0,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,9.0,0.0
2005.0,23.0,1651,PHI,Philadelphia 76Ers,Kyle Korver,23.0,5.0,5.0,147.0,2.0,6.9,0.29,1.7,5.9,0.29,0.2,1.0,0.25,0.5,0.5,1.0,0.7,2.4,3.2,2.0,1.0,0.2,2.0,4.4,6.1
2005.0,23.0,1407,PHI,Philadelphia 76Ers,Marc Jackson,30.0,5.0,0.0,65.0,2.8,11.1,0.25,0.0,0.0,,2.8,11.1,0.25,3.9,6.1,0.64,1.7,2.8,4.4,0.0,1.1,1.1,3.3,5.0,9.4
2005.0,23.0,2499,PHI,Philadelphia 76Ers,Rodney Rogers,33.0,4.0,0.0,49.0,4.4,9.6,0.46,2.2,5.9,0.38,2.2,3.7,0.6,3.7,5.1,0.71,0.0,2.9,2.9,0.7,0.0,1.5,0.7,2.9,14.7
2005.0,23.0,660,PHI,Philadelphia 76Ers,Samuel Dalembert,23.0,5.0,5.0,192.0,4.9,8.8,0.55,0.0,0.0,,4.9,8.8,0.55,1.1,2.8,0.4,3.4,8.6,12.0,0.4,0.4,1.3,1.7,3.6,10.9
2005.0,23.0,1116,PHI,Philadelphia 76Ers,Willie Green,23.0,5.0,0.0,63.0,4.6,10.3,0.44,1.1,5.1,0.22,3.4,5.1,0.67,5.1,5.7,0.9,1.7,3.4,5.1,1.7,0.6,0.0,1.1,2.9,15.4
