SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1989,10,GSW,Chris Mullin,25,8,8,341,9.3,17.2,0.54,0.1,0.8,0.12,9.2,16.4,0.56,6.1,7.1,0.87,1.2,3.8,5.0,3.8,1.5,1.2,3.4,2.0,24.8
1989,10,GSW,Mitch Richmond,23,8,8,314,7.1,15.5,0.46,0.3,1.8,0.19,6.8,13.6,0.5,3.9,4.4,0.9,1.1,5.5,6.6,4.0,1.6,0.1,2.8,2.9,18.5
1989,10,GSW,Winston Garland,24,8,8,270,5.5,13.1,0.42,0.1,0.4,0.33,5.3,12.7,0.42,3.2,3.7,0.86,1.9,2.5,4.4,3.9,1.7,0.3,2.0,4.1,14.3
1989,10,GSW,Rod Higgins,29,8,7,267,5.4,11.1,0.49,1.3,4.7,0.29,4.0,6.3,0.64,3.9,4.6,0.85,3.1,4.9,8.0,2.7,1.8,0.9,1.5,2.6,16.0
1989,10,GSW,Terry Teagle,28,8,0,240,10.5,21.2,0.5,0.0,0.3,0.0,10.5,20.8,0.5,2.7,3.3,0.82,2.3,3.3,5.5,1.5,1.2,0.5,1.9,4.1,23.7
1989,10,GSW,Manute Bol,26,8,0,148,1.7,8.8,0.19,0.5,5.4,0.09,1.2,3.4,0.36,0.5,1.7,0.29,1.2,6.3,7.5,0.2,0.5,7.1,0.7,5.1,4.4
1989,10,GSW,Larry Smith,31,8,8,148,1.0,3.9,0.25,0.0,0.0,,1.0,3.9,0.25,0.0,0.0,,4.1,5.6,9.7,3.9,1.5,2.7,1.5,5.8,1.9
1989,10,GSW,Steve Alford,24,6,0,52,6.2,15.2,0.41,2.8,6.2,0.44,3.5,9.0,0.38,2.1,2.8,0.75,1.4,1.4,2.8,3.5,1.4,0.0,0.7,4.8,17.3
1989,10,GSW,Otis Smith,25,4,0,49,6.6,17.6,0.38,0.0,0.0,,6.6,17.6,0.38,0.7,1.5,0.5,4.4,5.1,9.6,4.4,1.5,0.7,1.5,3.7,14.0
1989,10,GSW,Ralph Sampson,28,3,1,43,7.5,18.4,0.41,0.0,3.3,0.0,7.5,15.1,0.5,1.7,3.3,0.5,5.0,6.7,11.7,0.8,0.8,1.7,3.3,6.7,16.7
1989,10,GSW,Ben McDonald,26,5,0,40,1.8,9.0,0.2,0.0,2.7,0.0,1.8,6.3,0.29,1.8,3.6,0.5,3.6,3.6,7.2,0.9,2.7,0.9,3.6,7.2,5.4
1989,10,GSW,Orlando Graham,23,2,0,8,4.5,9.0,0.5,0.0,0.0,,4.5,9.0,0.5,4.5,9.0,0.5,0.0,4.5,4.5,0.0,0.0,0.0,4.5,0.0,13.5
