Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
2007,29,3132,UTA,Utah Jazz,Deron Williams,22,17,657,18.9,0.54,0.21,0.3,1.6,11.5,6.5,39.1,2.1,0.6,18.2,25.5,1.0,0.5,1.5,0.11,3.3,0.0,3.3,0.9
2007,29,299,UTA,Utah Jazz,Carlos Boozer,25,17,654,24.2,0.58,0.0,0.34,9.6,27.6,18.6,15.1,1.4,0.7,12.8,27.3,1.7,0.8,2.5,0.18,4.7,0.4,5.1,1.2
2007,29,2196,UTA,Utah Jazz,Mehmet Okur,27,17,585,13.9,0.5,0.43,0.23,7.4,19.2,13.2,8.1,2.2,2.6,10.6,17.3,0.6,0.7,1.3,0.11,0.9,0.7,1.6,0.5
2007,29,1626,UTA,Utah Jazz,Andrei Kirilenko,25,17,527,14.8,0.54,0.07,0.53,6.2,13.7,9.9,12.9,1.5,7.2,18.8,15.9,0.5,0.7,1.1,0.1,0.4,2.7,3.1,0.7
2007,29,919,UTA,Utah Jazz,Derek Fisher,32,16,445,11.5,0.54,0.26,0.37,1.0,5.6,3.3,14.7,1.9,0.4,11.9,16.1,0.7,0.2,0.9,0.1,-1.2,1.1,0.0,0.2
2007,29,1192,UTA,Utah Jazz,Matt Harpring,30,17,433,12.5,0.5,0.03,0.35,8.9,13.3,11.1,8.7,0.9,0.7,12.3,18.5,0.4,0.2,0.6,0.07,-0.1,-1.0,-1.0,0.1
2007,29,1041,UTA,Utah Jazz,Gordan Giricek,29,17,307,7.0,0.53,0.29,0.18,1.5,9.2,5.4,8.8,0.5,0.6,18.3,17.5,0.0,0.1,0.1,0.01,-2.3,-1.0,-3.3,-0.1
2007,29,2002,UTA,Utah Jazz,Paul Millsap,21,17,263,18.3,0.55,0.01,0.3,16.9,16.6,16.7,5.1,2.2,3.3,12.6,17.7,0.5,0.3,0.8,0.15,0.9,0.3,1.3,0.2
2007,29,571,UTA,Utah Jazz,Jarron Collins,28,13,110,7.0,0.46,0.0,1.89,8.5,12.9,10.7,6.3,1.9,0.0,5.7,7.1,0.1,0.1,0.2,0.09,-3.0,1.5,-1.5,0.0
2007,29,375,UTA,Utah Jazz,Dee Brown,22,8,52,4.5,0.35,0.35,0.24,2.2,4.5,3.4,27.1,0.0,0.0,17.6,19.6,-0.1,0.0,-0.1,-0.11,-3.1,-3.6,-6.7,-0.1
2007,29,346,UTA,Utah Jazz,Ronnie Brewer,21,8,41,17.1,0.6,0.0,1.3,5.7,11.5,8.6,8.0,1.3,0.0,11.3,19.4,0.1,0.0,0.1,0.14,1.1,-0.3,0.8,0.0
2007,29,100,UTA,Utah Jazz,Rafael Araujo,26,5,28,12.6,0.41,0.0,1.5,12.5,33.7,23.1,5.5,1.9,0.0,0.0,21.3,0.0,0.0,0.1,0.11,-2.8,-0.3,-3.1,0.0
2007,29,1983,UTA,Utah Jazz,C.J. Miles,19,1,3,9.5,0.57,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.09,0.3,-2.8,-2.5,0.0
