NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
49,Shandon Anderson,SF,6-6,208,1973-12-31,US,6,Georgia
51,Michael Doleac,C,6-11,262,1977-06-15,US,4,Utah
4,Howard Eisley,PG,6-2,177,1972-12-04,US,8,Boston College
32,Othella Harrington,PF,6-9,235,1974-01-31,US,6,Georgetown
20,Allan Houston,SG,6-6,200,1971-04-20,US,9,Tennessee
44,Travis Knight,C,7-0,235,1974-09-13,US,6,UConn
54,Lee Nailon,SF,6-9,238,1975-02-22,US,2,"Butler County Community College, TCU"
7,Lavor Postell,SG,6-5,215,1978-02-26,US,2,St. John's
8,Latrell Sprewell,SF,6-5,190,1970-09-08,US,10,Alabama
40,Kurt Thomas,C,6-9,230,1972-10-04,US,7,TCU
21,Charlie Ward,PG,6-2,190,1970-10-12,US,8,Florida State
35,Clarence Weatherspoon,PF,6-6,240,1970-09-08,US,10,University of Southern Mississippi
30,Frank Williams,PG,6-3,212,1980-02-25,US,R,Illinois
