PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
James Harden,23,78,2985,23.0,0.6,0.364,0.5920000000000001,2.4,11.9,7.2,25.7,2.4,1.0,14.9,29.0,,9.8,3.0,12.8,0.20600000000000002,,5.2,0.5,5.6,5.8
Chandler Parsons,24,76,2758,15.3,0.584,0.42100000000000004,0.165,3.3,13.2,8.3,15.6,1.4,0.9,12.7,18.3,,4.9,2.1,7.0,0.121,,2.0,0.0,2.0,2.8
Jeremy Lin,24,82,2640,14.9,0.5379999999999999,0.287,0.307,1.4,9.1,5.3,29.4,2.5,0.8,18.8,20.8,,3.0,2.5,5.4,0.099,,-0.1,0.4,0.3,1.5
James Anderson,26,82,2464,14.9,0.5579999999999999,0.002,0.48700000000000004,12.8,31.0,22.0,4.6,0.9,2.7,18.8,16.3,,2.0,3.5,5.5,0.10800000000000001,,-1.3,-0.3,-1.6,0.3
Carlos Delfino,30,67,1689,13.3,0.5489999999999999,0.679,0.09,1.2,13.4,7.4,12.5,2.0,0.4,10.0,18.6,,2.0,1.5,3.5,0.10099999999999999,,1.1,0.3,1.4,1.5
Patrick Patterson,23,47,1219,15.5,0.5710000000000001,0.21100000000000002,0.10800000000000001,6.9,13.6,10.3,7.0,0.7,1.7,8.1,18.6,,2.2,0.8,3.0,0.12,,1.1,-0.9,0.2,0.7
Marcus Morris,23,54,1154,12.1,0.537,0.485,0.188,6.3,15.2,10.8,6.3,1.2,1.1,10.9,18.4,,1.1,0.9,2.0,0.084,,-0.3,-0.8,-1.2,0.2
Greg Smith,22,70,1110,16.1,0.636,0.004,0.474,11.5,21.2,16.4,3.5,0.8,2.7,11.0,14.7,,2.8,1.2,4.0,0.172,,-0.6,0.0,-0.6,0.4
Toney Douglas,26,49,913,12.3,0.522,0.46,0.193,2.9,8.2,5.6,16.0,2.2,0.2,12.8,21.0,,0.8,0.7,1.5,0.081,,-1.2,-0.3,-1.5,0.1
Patrick Beverley,24,41,713,15.4,0.551,0.508,0.217,7.2,10.1,8.7,24.2,2.6,2.2,17.5,15.4,,1.4,0.8,2.2,0.14800000000000002,,1.7,2.1,3.8,1.0
Donatas Motiejūnas,22,44,538,12.2,0.531,0.39,0.239,7.7,11.9,9.8,9.5,0.6,1.4,13.6,22.1,,0.4,0.3,0.7,0.061,,-1.9,-1.6,-3.5,-0.2
Francisco García,31,18,319,12.2,0.586,0.737,0.07400000000000001,0.4,7.7,4.1,9.5,2.2,1.7,10.9,15.1,,0.4,0.3,0.7,0.10099999999999999,,0.4,1.4,1.8,0.3
James Anderson,23,29,307,14.2,0.526,0.485,0.188,5.6,15.7,10.7,16.4,2.0,0.7,14.1,18.1,,0.4,0.3,0.7,0.105,,0.7,0.4,1.2,0.2
Terrence Jones,21,19,276,17.1,0.512,0.20199999999999999,0.18100000000000002,11.6,15.0,13.4,8.6,2.2,5.2,11.4,18.1,,0.3,0.4,0.7,0.128,,0.3,1.4,1.7,0.3
Thomas Robinson,21,19,247,12.0,0.45399999999999996,0.013000000000000001,0.48700000000000004,13.9,21.3,17.7,6.2,3.2,1.5,19.5,20.8,,-0.3,0.4,0.1,0.024,,-4.2,0.0,-4.2,-0.1
Cole Aldrich,24,30,213,7.3,0.532,0.0,0.209,6.5,23.7,15.2,4.1,0.7,3.2,23.0,12.5,,-0.1,0.3,0.2,0.038,,-5.6,0.6,-5.0,-0.2
Daequan Cook,25,16,165,8.8,0.456,0.508,0.051,3.5,8.8,6.2,9.1,1.8,0.9,9.0,17.6,,0.0,0.1,0.1,0.03,,-1.3,-0.2,-1.6,0.0
Aaron Brooks,28,7,38,5.6,0.385,0.5379999999999999,0.0,3.0,3.0,3.0,23.1,1.3,6.0,23.5,19.6,,-0.1,0.0,0.0,-0.063,,-4.1,0.1,-4.0,0.0
Scott Machado,22,6,21,6.0,0.581,0.16699999999999998,0.33299999999999996,0.0,5.3,2.7,44.2,4.8,0.0,53.8,31.0,,-0.1,0.0,-0.1,-0.23,,-5.9,-2.9,-8.8,0.0
Tim Ohlbrecht,24,3,12,-6.1,0.436,0.0,0.33299999999999996,0.0,9.3,4.7,11.8,4.2,0.0,53.8,27.1,,-0.1,0.0,-0.1,-0.369,,-17.2,0.0,-17.2,0.0
