PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Paul Pierce,35,77,2575,19.1,0.5589999999999999,0.35,0.387,2.1,19.7,11.2,25.1,1.7,0.9,14.3,27.4,,3.5,3.7,7.2,0.135,,3.0,0.7,3.6,3.6
Jeff Green,26,81,2252,15.0,0.561,0.226,0.32899999999999996,3.0,13.4,8.3,9.6,1.3,2.4,12.5,22.2,,1.9,2.8,4.7,0.099,,-0.2,-0.1,-0.3,1.0
Brandon Bass,27,81,2239,12.3,0.535,0.003,0.255,7.0,15.2,11.2,6.0,1.0,2.3,10.9,15.5,,2.0,2.7,4.7,0.10099999999999999,,-1.9,0.0,-1.9,0.1
Jason Terry,35,79,2124,12.8,0.5660000000000001,0.511,0.20199999999999999,1.1,7.6,4.4,14.9,1.6,0.4,12.6,18.0,,2.1,1.9,4.0,0.091,,0.0,-0.2,-0.2,1.0
Kevin Garnett,36,68,2022,19.2,0.535,0.019,0.23600000000000002,4.5,25.8,15.5,14.4,2.0,2.4,10.5,24.5,,1.8,3.8,5.6,0.133,,0.9,1.7,2.6,2.3
Courtney Lee,27,78,1941,11.7,0.545,0.294,0.136,1.9,9.4,5.8,11.7,2.4,0.9,13.0,15.7,,0.9,2.4,3.3,0.08199999999999999,,-1.8,1.2,-0.5,0.7
Avery Bradley,22,50,1435,8.8,0.461,0.264,0.10300000000000001,2.5,6.5,4.6,11.6,2.3,1.0,12.6,18.8,,-1.3,1.6,0.4,0.012,,-4.0,0.3,-3.7,-0.6
Rajon Rondo,26,38,1423,18.1,0.516,0.10800000000000001,0.2,3.7,13.6,8.8,49.3,2.6,0.5,22.6,21.7,,1.2,2.0,3.2,0.10800000000000001,,1.6,0.6,2.2,1.5
Jared Sullinger,20,45,892,13.5,0.534,0.022000000000000002,0.28,12.6,22.1,17.5,6.2,1.3,1.9,10.3,14.9,,1.3,1.4,2.7,0.146,,-2.3,0.4,-1.9,0.0
Chris Wilcox,30,61,830,15.3,0.725,0.006999999999999999,0.379,8.1,17.3,12.8,4.2,2.0,2.7,16.0,12.1,,1.8,1.3,3.1,0.18100000000000002,,-1.5,1.5,0.0,0.4
Jordan Crawford,24,27,582,12.0,0.512,0.34600000000000003,0.244,2.7,12.0,7.5,19.4,1.1,0.3,15.5,23.1,,0.0,0.5,0.5,0.040999999999999995,,-1.7,-1.8,-3.6,-0.2
Leandro Barbosa,30,41,513,13.5,0.509,0.244,0.212,1.9,8.5,5.3,19.0,1.7,0.9,9.1,21.4,,0.4,0.5,0.9,0.086,,-1.0,0.3,-0.7,0.2
Jason Collins,34,32,330,3.0,0.511,0.0,1.304,7.8,10.8,9.3,2.5,1.6,1.4,30.7,7.5,,-0.1,0.4,0.3,0.049,,-7.7,0.8,-7.0,-0.4
Terrence Williams,25,24,318,12.3,0.518,0.155,0.21600000000000003,1.5,14.4,8.2,19.7,1.8,0.5,17.2,19.1,,-0.1,0.4,0.3,0.046,,-1.9,-0.5,-2.4,0.0
Shavlik Randolph,29,16,198,15.9,0.5589999999999999,0.0,0.563,17.2,24.3,20.9,3.3,2.1,2.8,14.3,16.7,,0.3,0.4,0.7,0.159,,-2.7,-0.8,-3.5,-0.1
D.J. White,26,12,86,14.7,0.5379999999999999,0.0,0.391,5.7,12.0,8.9,7.5,0.6,5.5,6.9,15.9,,0.1,0.1,0.2,0.11699999999999999,,-0.6,-0.3,-0.9,0.0
Fab Melo,22,6,36,4.9,0.451,0.0,0.667,0.0,9.6,4.9,0.0,2.9,4.4,11.4,11.5,,0.0,0.1,0.0,0.021,,-8.3,0.7,-7.6,-0.1
Kris Joseph,24,6,24,-3.2,0.27399999999999997,0.182,0.364,5.1,19.1,12.3,6.2,0.0,0.0,13.6,29.1,,-0.2,0.0,-0.1,-0.275,,-11.6,-5.6,-17.1,-0.1
Jarvis Varnado,24,5,18,12.8,0.521,0.0,1.0,6.8,12.7,9.8,8.6,2.9,0.0,14.8,17.8,,0.0,0.0,0.0,0.083,,-1.5,1.1,-0.4,0.0
Darko Miličić,27,1,5,-30.2,0.0,0.0,0.0,0.0,22.9,11.8,0.0,0.0,0.0,66.7,28.4,,-0.1,0.0,-0.1,-0.779,,-32.8,-5.5,-38.3,0.0
