Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1992.0,20.0,1864,NYK,New York Knicks,Anthony Mason,25.0,12.0,288.0,10.3,0.54,0.0,0.65,11.7,20.6,16.1,5.4,0.4,2.0,16.6,10.7,0.2,0.5,0.8,0.13,-1.4,1.5,0.1,0.1
1992.0,20.0,2181,NYK,New York Knicks,Charles Oakley,28.0,12.0,354.0,9.7,0.46,0.0,0.47,15.0,22.3,18.6,3.5,1.3,1.0,17.7,11.2,0.0,0.7,0.7,0.1,-2.0,0.5,-1.5,0.0
1992.0,20.0,3121,NYK,New York Knicks,Gerald Wilkins,28.0,12.0,344.0,8.0,0.45,0.12,0.21,4.2,6.5,5.3,17.2,0.8,0.2,11.2,18.2,-0.1,0.5,0.4,0.06,-2.5,0.3,-2.2,0.0
1992.0,20.0,95,NYK,New York Knicks,Greg Anthony,24.0,12.0,213.0,13.8,0.52,0.26,0.72,2.3,7.5,4.9,31.3,4.3,0.3,17.7,16.1,0.2,0.5,0.6,0.14,0.0,5.1,5.1,0.4
1992.0,20.0,756,NYK,New York Knicks,James Donaldson,34.0,2.0,11.0,11.6,1.0,0.0,0.0,0.0,44.9,22.2,0.0,0.0,6.5,50.0,17.0,0.0,0.0,0.0,-0.0,-7.3,5.8,-1.5,0.0
1992.0,20.0,2737,NYK,New York Knicks,John Starks,26.0,12.0,295.0,13.8,0.5,0.37,0.42,2.9,9.6,6.2,23.5,3.3,0.0,13.1,26.5,0.1,0.6,0.7,0.12,-0.1,2.6,2.4,0.3
1992.0,20.0,3202,NYK,New York Knicks,Kennard Winchester,25.0,3.0,11.0,15.2,0.55,0.0,0.2,0.0,0.0,0.0,42.2,0.0,0.0,15.5,27.3,0.0,0.0,0.0,0.03,3.6,0.2,3.9,0.0
1992.0,20.0,2954,NYK,New York Knicks,Kiki Vandeweghe,33.0,8.0,75.0,17.8,0.66,0.21,0.29,4.8,4.9,4.9,10.1,1.5,1.0,3.6,17.5,0.3,0.1,0.4,0.25,4.4,3.0,7.4,0.2
1992.0,20.0,1408,NYK,New York Knicks,Mark Jackson,26.0,12.0,368.0,11.4,0.48,0.23,0.29,3.9,5.0,4.5,38.7,1.5,0.0,22.4,17.0,0.0,0.5,0.5,0.07,0.6,-0.5,0.0,0.2
1992.0,20.0,884,NYK,New York Knicks,Patrick Ewing,29.0,12.0,482.0,19.9,0.5,0.0,0.3,8.3,25.6,16.8,11.7,0.8,4.6,7.8,28.5,0.5,1.2,1.7,0.17,2.8,2.4,5.2,0.9
1992.0,20.0,1908,NYK,New York Knicks,Tim McCormick,29.0,1.0,6.0,-6.4,0.0,0.0,0.0,0.0,61.7,30.5,0.0,0.0,0.0,0.0,15.5,0.0,0.0,0.0,-0.16,-13.9,-4.1,-18.0,0.0
1992.0,20.0,1917,NYK,New York Knicks,Xavier McDaniel,28.0,12.0,458.0,15.4,0.52,0.04,0.25,11.3,11.6,11.5,10.1,1.1,0.3,11.0,25.0,0.4,0.7,1.1,0.11,1.7,-0.1,1.6,0.4
