Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1988,22.0,CHI,NBA,PF,10.0,0.0,299.0,46.0,81.0,0.568,0.0,1.0,0.0,46.0,80.0,0.575,0.568,9.0,15.0,0.6,25.0,45.0,70.0,16.0,14.0,2.0,7.0,35.0,101.0
1989,23.0,CHI,NBA,PF,17.0,17.0,625.0,72.0,139.0,0.518,0.0,0.0,,72.0,139.0,0.518,0.518,40.0,50.0,0.8,53.0,114.0,167.0,35.0,11.0,16.0,31.0,68.0,184.0
1990,24.0,CHI,NBA,PF,16.0,16.0,616.0,81.0,159.0,0.509,0.0,2.0,0.0,81.0,157.0,0.516,0.509,33.0,53.0,0.623,73.0,86.0,159.0,40.0,18.0,18.0,26.0,51.0,195.0
1991,25.0,CHI,NBA,PF,17.0,17.0,666.0,91.0,156.0,0.583,0.0,0.0,,91.0,156.0,0.583,0.583,44.0,60.0,0.733,56.0,82.0,138.0,38.0,15.0,6.0,20.0,45.0,226.0
1992,26.0,CHI,NBA,PF,22.0,22.0,856.0,99.0,183.0,0.541,0.0,2.0,0.0,99.0,181.0,0.547,0.541,51.0,76.0,0.671,76.0,118.0,194.0,66.0,24.0,39.0,21.0,68.0,249.0
1993,27.0,CHI,NBA,PF,19.0,19.0,651.0,83.0,152.0,0.546,0.0,0.0,,83.0,152.0,0.546,0.546,37.0,54.0,0.685,61.0,95.0,156.0,44.0,23.0,23.0,17.0,60.0,203.0
1994,28.0,CHI,NBA,PF,10.0,10.0,393.0,65.0,120.0,0.542,1.0,1.0,1.0,64.0,119.0,0.538,0.546,31.0,42.0,0.738,30.0,44.0,74.0,26.0,10.0,18.0,10.0,23.0,162.0
1995,29.0,ORL,NBA,PF,21.0,21.0,869.0,121.0,224.0,0.54,0.0,2.0,0.0,121.0,222.0,0.545,0.54,45.0,59.0,0.763,74.0,145.0,219.0,39.0,21.0,24.0,26.0,68.0,287.0
1996,30.0,ORL,NBA,PF,9.0,9.0,334.0,61.0,94.0,0.649,0.0,0.0,,61.0,94.0,0.649,0.649,13.0,15.0,0.867,31.0,63.0,94.0,13.0,7.0,6.0,6.0,23.0,135.0
1999,33.0,ORL,NBA,PF,4.0,4.0,128.0,11.0,30.0,0.367,0.0,0.0,,11.0,30.0,0.367,0.367,5.0,8.0,0.625,14.0,14.0,28.0,5.0,2.0,2.0,2.0,12.0,27.0
2001,35.0,LAL,NBA,PF,16.0,16.0,423.0,37.0,96.0,0.385,0.0,0.0,,37.0,96.0,0.385,0.385,22.0,30.0,0.733,40.0,56.0,96.0,19.0,15.0,13.0,15.0,43.0,96.0
2002,36.0,ORL,NBA,C,4.0,4.0,127.0,8.0,22.0,0.364,0.0,0.0,,8.0,22.0,0.364,0.364,2.0,2.0,1.0,8.0,23.0,31.0,9.0,3.0,1.0,2.0,7.0,18.0
