SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
2004,15,MEM,Pau Gasol,23,4,4,134,11.7,20.4,0.57,0.0,0.0,,11.7,20.4,0.57,7.5,8.3,0.9,1.7,6.7,8.3,4.2,1.7,2.5,2.1,4.2,30.8,,127,113
2004,15,MEM,James Posey,27,4,4,130,6.4,15.9,0.4,0.4,2.6,0.17,6.0,13.3,0.45,8.2,9.0,0.9,3.4,6.0,9.4,1.7,3.9,0.9,2.6,5.6,21.5,,109,110
2004,15,MEM,Jason Williams,28,4,4,130,6.4,19.8,0.33,2.6,9.0,0.29,3.9,10.7,0.36,3.0,3.0,1.0,0.4,3.4,3.9,7.7,0.9,0.0,3.0,4.3,18.5,,93,119
2004,15,MEM,Lorenzen Wright,28,4,4,100,5.6,12.8,0.44,0.0,0.0,,5.6,12.8,0.44,1.1,3.4,0.33,2.8,6.7,9.5,1.1,2.2,1.1,2.8,8.4,12.3,,82,112
2004,15,MEM,Mike Miller,23,4,4,98,6.8,19.4,0.35,2.8,7.4,0.38,4.0,12.0,0.33,0.6,1.7,0.33,0.0,6.8,6.8,1.7,2.8,0.0,2.8,2.3,17.1,,79,113
2004,15,MEM,Bonzi Wells,27,4,0,94,11.3,22.0,0.51,0.0,0.6,0.0,11.3,21.4,0.53,5.3,8.3,0.64,1.2,5.9,7.1,2.4,2.4,0.6,5.3,4.8,27.9,,94,113
2004,15,MEM,Stromile Swift,24,4,0,74,6.8,19.6,0.35,0.0,0.0,,6.8,19.6,0.35,4.5,6.0,0.75,4.5,9.8,14.3,2.3,2.3,4.5,2.3,4.5,18.1,,90,107
2004,15,MEM,Shane Battier,25,4,0,69,4.9,12.1,0.4,2.4,5.7,0.43,2.4,6.5,0.38,3.2,4.9,0.67,4.9,4.9,9.7,0.8,0.0,0.8,3.2,13.8,15.4,,101,118
2004,15,MEM,Earl Watson,24,4,0,62,7.2,13.5,0.53,0.0,2.7,0.0,7.2,10.8,0.67,2.7,2.7,1.0,3.6,4.5,8.1,6.3,4.5,0.0,5.4,7.2,17.1,,100,110
2004,15,MEM,Bo Outlaw,32,4,0,61,0.0,6.4,0.0,0.0,0.0,,0.0,6.4,0.0,1.8,3.7,0.5,0.9,2.7,3.7,5.5,1.8,1.8,2.7,8.2,1.8,,46,115
2004,15,MEM,Ryan Humphrey,24,3,0,5,11.2,11.2,1.0,0.0,0.0,,11.2,11.2,1.0,0.0,0.0,,11.2,11.2,22.3,0.0,0.0,0.0,0.0,0.0,22.3,,203,116
2004,15,MEM,Jake Tsakalidis,24,1,0,3,0.0,0.0,,0.0,0.0,,0.0,0.0,,37.2,37.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.8,0.0,37.2,,50,123
