Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 29,ORtg,DRtg
2001,21.0,SAC,NBA,SF,8.0,0.0,141.0,7.1,16.3,0.435,2.8,5.0,0.571,4.2,11.3,0.375,4.2,4.2,1.0,2.5,7.4,9.9,3.9,1.1,0.4,2.1,6.4,21.2,,122.0,103.0
2002,22.0,SAC,NBA,SF,16.0,8.0,443.0,6.3,15.8,0.401,1.4,3.9,0.353,5.0,11.9,0.417,1.8,3.6,0.516,2.0,7.6,9.6,2.7,0.7,1.0,2.7,5.7,15.9,,92.0,105.0
2003,23.0,SAC,NBA,SF,10.0,5.0,174.0,5.2,14.6,0.36,1.2,4.1,0.286,4.1,10.5,0.389,3.8,5.2,0.722,1.5,7.0,8.4,4.1,3.5,1.5,1.5,5.5,15.4,,104.0,105.0
2004,24.0,SAS,NBA,SF,10.0,10.0,271.0,5.3,16.4,0.321,2.8,8.5,0.333,2.4,7.9,0.308,2.2,3.7,0.611,1.0,8.1,9.1,3.0,1.8,0.2,3.2,4.1,15.6,,86.0,99.0
2007,27.0,ORL,NBA,SF,4.0,4.0,156.0,9.0,18.0,0.5,1.1,3.2,0.333,7.9,14.8,0.537,0.7,1.4,0.5,0.7,4.0,4.7,5.0,1.8,1.4,3.6,5.0,19.8,,99.0,113.0
2008,28.0,ORL,NBA,SF,10.0,10.0,399.0,8.7,19.4,0.447,1.4,4.8,0.286,7.3,14.6,0.5,5.4,6.3,0.848,1.9,6.9,8.8,7.6,1.1,0.3,5.2,4.8,24.1,,106.0,111.0
2009,29.0,ORL,NBA,SF,24.0,24.0,934.0,7.3,17.0,0.427,1.8,4.8,0.386,5.4,12.2,0.443,5.4,6.6,0.817,0.5,5.8,6.3,6.7,1.0,0.2,3.7,4.6,21.8,,106.0,108.0
2011,31.0,ORL,NBA,SF,6.0,6.0,209.0,5.3,18.0,0.294,1.9,8.0,0.233,3.4,10.1,0.342,2.1,3.7,0.571,0.3,4.8,5.0,5.8,2.1,0.3,1.9,4.8,14.6,,87.0,101.0
2012,32.0,ORL,NBA,SF,5.0,5.0,162.0,5.1,14.0,0.366,1.7,4.1,0.417,3.4,9.9,0.345,2.4,3.8,0.636,1.4,3.4,4.8,4.1,1.7,1.4,3.1,6.2,14.4,,89.0,108.0
2014,34.0,LAC,NBA,SF,5.0,0.0,41.0,7.3,15.9,0.462,4.9,12.2,0.4,2.4,3.7,0.667,0.0,0.0,,0.0,6.1,6.1,1.2,3.7,0.0,0.0,3.7,19.5,,126.0,109.0
2015,35.0,LAC,NBA,SF,11.0,0.0,55.0,3.5,15.0,0.235,1.8,11.5,0.154,1.8,3.5,0.5,0.0,0.0,,0.9,5.3,6.2,3.5,3.5,0.9,1.8,8.8,8.8,,68.0,104.0
