NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
20,Winston Bennett,SF,6-7,210,1965-02-09,US,R,Kentucky
52,Chucky Brown,SF,6-7,214,1968-02-29,US,R,NC State
33,Derrick Chievous,SF,6-7,195,1967-07-03,US,1,Missouri
43,Brad Daugherty,C,7-0,245,1965-10-19,US,3,UNC
24,Chris Dudley,PF,6-11,235,1965-02-22,US,2,Yale
3,Craig Ehlo,SG,6-6,180,1961-08-11,US,6,Washington State
4,Ron Harper,SG,6-6,185,1964-01-20,US,3,Miami University
5,Steve Kerr,PG,6-3,175,1965-09-27,LB,1,Arizona
31,Randolph Keys,SF,6-7,195,1966-04-19,US,1,University of Southern Mississippi
44,Paul Mokeski,C,7-0,250,1957-01-03,US,10,Kansas
23,John Morton,SG,6-3,180,1967-05-18,US,R,Seton Hall
22,Larry Nance,PF,6-10,205,1959-02-12,US,8,Clemson
25,Mark Price,PG,6-0,170,1964-02-15,US,3,Georgia Tech
30,Tree Rollins,C,7-1,235,1955-06-16,US,12,Clemson
54,Gary Voce,PF,6-9,240,1965-11-24,JM,R,Notre Dame
18,Hot Rod Williams,PF,6-11,215,1962-08-09,US,3,Tulane
2,Reggie Williams,SF,6-7,190,1964-03-05,US,2,Georgetown
