Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1987,23,PHI,Philadelphia 76Ers,Charles Barkley,23,5,5,210,43,75,0.57,1,8,0.12,42,67,0.63,0.58,36,45,0.8,27,36,63,12,4,8,22,21,123,165
1987,23,PHI,Philadelphia 76Ers,Maurice Cheeks,30,5,5,210,35,66,0.53,0,1,0.0,35,65,0.54,0.53,18,21,0.86,1,12,13,44,9,4,12,14,88,522
1987,23,PHI,Philadelphia 76Ers,Julius Erving,36,5,5,180,34,82,0.42,2,6,0.33,32,76,0.42,0.43,21,25,0.84,14,11,25,17,7,6,9,19,91,869
1987,23,PHI,Philadelphia 76Ers,Roy Hinson,25,5,0,159,31,52,0.6,0,0,,31,52,0.6,0.6,24,38,0.63,6,17,23,3,4,10,2,18,86,1297
1987,23,PHI,Philadelphia 76Ers,Cliff Robinson,26,5,5,138,30,61,0.49,0,0,,30,61,0.49,0.49,13,15,0.87,10,33,43,6,3,7,8,15,73,2469
1987,23,PHI,Philadelphia 76Ers,Tim McCormick,24,5,5,121,12,24,0.5,0,0,,12,24,0.5,0.5,4,4,1.0,7,24,31,6,1,2,7,19,28,1908
1987,23,PHI,Philadelphia 76Ers,Andrew Toney,29,5,0,104,13,34,0.38,0,3,0.0,13,31,0.42,0.38,2,2,1.0,2,7,9,27,2,2,16,16,28,2893
1987,23,PHI,Philadelphia 76Ers,David Wingate,23,5,0,90,15,37,0.4,2,2,1.0,13,35,0.37,0.43,9,14,0.64,5,7,12,9,5,1,9,11,41,3204
1987,23,PHI,Philadelphia 76Ers,Steve Colter,24,2,0,8,1,2,0.5,0,0,,1,2,0.5,0.5,0,0,,0,0,0,2,0,0,0,1,2,582
1987,23,PHI,Philadelphia 76Ers,Danny Vranes,28,2,0,3,0,0,,0,0,,0,0,,,0,0,,0,3,3,0,0,0,0,1,0,2980
1987,23,PHI,Philadelphia 76Ers,Mark McNamara,27,1,0,2,1,1,1.0,0,0,,1,1,1.0,1.0,0,0,,0,1,1,0,0,0,0,0,2,1953
