Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
1996,20,NYK,New York Knicks,Anthony Mason,29,8,350,12.1,0.56,0.0,0.36,6.6,14.5,10.9,13.7,0.6,0.2,18.1,15.6,0.3,0.4,0.7,0.1,0.4,0.8,1.2,0.3,1864
1996,20,NYK,New York Knicks,Patrick Ewing,33,8,328,18.1,0.52,0.02,0.46,4.5,25.4,15.9,9.9,0.2,6.0,15.4,29.3,-0.2,0.7,0.5,0.08,0.0,2.4,2.4,0.4,884
1996,20,NYK,New York Knicks,John Starks,30,8,314,15.1,0.61,0.52,0.45,1.3,9.3,5.7,19.7,2.3,0.3,19.4,20.3,0.4,0.4,0.8,0.13,1.9,2.3,4.2,0.5,2737
1996,20,NYK,New York Knicks,Charles Oakley,32,8,308,12.3,0.56,0.08,0.46,12.3,15.0,13.7,8.6,1.5,0.0,23.0,19.5,0.0,0.5,0.5,0.08,-1.3,0.6,-0.7,0.1,2181
1996,20,NYK,New York Knicks,Derek Harper,34,8,293,9.3,0.45,0.43,0.18,0.0,6.5,3.6,23.2,1.9,0.3,13.6,17.3,-0.1,0.3,0.3,0.04,-1.3,1.3,0.0,0.2,1187
1996,20,NYK,New York Knicks,Hubert Davis,25,8,145,12.4,0.74,0.61,0.36,3.7,6.2,5.1,5.1,0.0,0.0,16.3,14.6,0.3,0.1,0.4,0.14,2.4,-0.2,2.2,0.2,689
1996,20,NYK,New York Knicks,Charlie Ward,25,7,92,19.8,0.53,0.44,0.26,2.9,8.6,6.0,35.8,6.7,0.0,16.6,19.4,0.1,0.2,0.3,0.18,2.2,7.6,9.8,0.3,3021
1996,20,NYK,New York Knicks,Willie Anderson,29,4,64,5.3,0.42,0.27,0.32,4.2,12.3,8.6,2.8,3.5,0.0,19.3,24.0,-0.2,0.1,-0.1,-0.06,-5.6,1.6,-4.1,0.0,85
1996,20,NYK,New York Knicks,Herb Williams,37,5,33,9.0,0.67,0.0,0.8,0.0,0.0,0.0,0.0,0.0,4.8,12.9,11.6,0.0,0.0,0.1,0.09,-2.3,2.3,0.0,0.0,3142
1996,20,NYK,New York Knicks,Gary Grant,30,1,8,33.6,0.6,0.6,0.0,33.8,14.1,23.0,0.0,7.0,0.0,16.7,37.0,0.0,0.0,0.0,0.19,18.6,7.2,25.8,0.1,1080
1996,20,NYK,New York Knicks,J.R. Reid,27,1,7,8.0,1.0,0.0,0.0,0.0,16.1,8.8,27.7,0.0,0.0,50.0,14.1,0.0,0.0,0.0,0.07,-5.2,6.9,1.6,0.0,2421
1996,20,NYK,New York Knicks,Ron Grandison,31,2,3,-18.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,-0.38,-20.9,-5.6,-26.5,0.0,1076
