Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982,23,PHI,Philadelphia 76Ers,Julius Erving,31,21,,780,168,324,0.52,1,6,0.17,167,318,0.52,0.52,124,165,0.75,57,99,156,99,37,37,67,55,461,869
1982,23,PHI,Philadelphia 76Ers,Maurice Cheeks,25,21,,765,125,265,0.47,1,9,0.11,124,256,0.48,0.47,50,65,0.77,15,47,62,172,48,6,49,58,301,522
1982,23,PHI,Philadelphia 76Ers,Andrew Toney,24,21,,707,185,365,0.51,5,15,0.33,180,350,0.51,0.51,82,103,0.8,20,31,51,102,18,2,67,86,457,2893
1982,23,PHI,Philadelphia 76Ers,Caldwell Jones,31,21,,679,74,160,0.46,0,0,,74,160,0.46,0.46,35,41,0.85,52,137,189,19,11,40,29,77,183,1528
1982,23,PHI,Philadelphia 76Ers,Bobby Jones,30,21,,589,94,174,0.54,0,0,,94,174,0.54,0.54,68,81,0.84,37,62,99,52,15,22,33,69,256,1527
1982,23,PHI,Philadelphia 76Ers,Darryl Dawkins,25,21,,460,99,178,0.56,0,0,,99,178,0.56,0.56,33,50,0.66,23,75,98,11,7,35,38,94,231,704
1982,23,PHI,Philadelphia 76Ers,Clint Richardson,25,21,,415,47,104,0.45,0,0,,47,104,0.45,0.45,17,30,0.57,29,40,69,40,13,5,21,48,111,2438
1982,23,PHI,Philadelphia 76Ers,Mike Bantom,30,21,,399,36,91,0.4,0,0,,36,91,0.4,0.4,19,42,0.45,39,38,77,24,15,9,24,60,91,160
1982,23,PHI,Philadelphia 76Ers,Lionel Hollins,28,8,,114,15,49,0.31,0,1,0.0,15,48,0.31,0.31,4,6,0.67,1,8,9,25,9,1,13,11,34,1312
1982,23,PHI,Philadelphia 76Ers,Earl Cureton,24,12,,75,13,41,0.32,0,1,0.0,13,40,0.32,0.32,6,9,0.67,12,14,26,2,1,1,5,12,32,650
1982,23,PHI,Philadelphia 76Ers,Steve Mix,34,7,,50,12,22,0.55,1,1,1.0,11,21,0.52,0.57,5,7,0.71,4,7,11,6,0,0,4,5,30,2017
1982,23,PHI,Philadelphia 76Ers,Franklin Edwards,22,9,,32,12,20,0.6,1,1,1.0,11,19,0.58,0.62,8,9,0.89,2,3,5,5,3,0,2,0,33,831
