PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,eFG,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS/G
Karl Malone,24,11,11,44.9,11.2,23.2,0.48200000000000004,0.0,0.1,0.0,11.2,23.1,0.484,0.48200000000000004,7.4,10.2,0.723,3.0,8.8,11.8,1.5,1.2,0.6,3.5,3.2,29.7
John Stockton,25,11,11,43.5,6.2,12.2,0.507,0.4,1.3,0.28600000000000003,5.8,10.9,0.5329999999999999,0.522,6.8,8.3,0.8240000000000001,1.3,2.8,4.1,14.8,3.4,0.3,4.4,3.3,19.5
Mark Eaton,31,11,11,41.9,2.8,5.9,0.47700000000000004,0.0,0.0,,2.8,5.9,0.47700000000000004,0.47700000000000004,2.1,3.3,0.639,2.5,6.8,9.4,1.2,1.1,3.1,1.3,4.4,7.7
Thurl Bailey,26,11,0,40.8,9.0,18.5,0.488,0.0,0.1,0.0,9.0,18.4,0.49,0.488,5.2,6.2,0.838,1.9,3.8,5.7,1.6,0.5,2.1,1.9,2.9,23.2
Bob Hansen,27,11,11,37.1,6.1,12.3,0.496,1.7,3.3,0.528,4.4,9.0,0.485,0.5670000000000001,1.5,2.0,0.727,0.7,2.8,3.5,2.9,0.6,0.0,2.5,3.8,15.4
Marc Iavaroni,31,11,11,12.5,1.5,2.6,0.552,0.0,0.0,,1.5,2.6,0.552,0.552,1.1,1.3,0.857,0.5,1.3,1.7,1.3,0.2,0.2,0.5,2.4,4.0
Bart Kofoed,23,10,0,10.9,0.9,2.3,0.391,0.1,0.5,0.2,0.8,1.8,0.444,0.413,0.2,0.2,1.0,0.3,1.1,1.4,1.1,0.1,0.0,0.9,1.8,2.1
Rickey Green,33,7,0,5.4,0.3,1.1,0.25,0.0,0.0,,0.3,1.1,0.25,0.25,0.0,0.0,,0.0,0.1,0.1,1.3,0.3,0.0,0.4,0.3,0.6
Kelly Tripucka,28,2,0,4.5,0.5,1.5,0.33299999999999996,0.0,0.0,,0.5,1.5,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,1.0
Melvin Turpin,27,7,0,4.4,0.4,1.3,0.33299999999999996,0.0,0.0,,0.4,1.3,0.33299999999999996,0.33299999999999996,0.3,0.3,1.0,0.4,0.4,0.9,0.3,0.1,0.6,0.3,0.7,1.1
Eddie Hughes,27,7,0,2.3,0.3,1.0,0.28600000000000003,0.1,0.4,0.33299999999999996,0.1,0.6,0.25,0.35700000000000004,0.0,0.0,,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.1,0.7
Scott Roth,24,6,0,1.7,0.2,0.5,0.33299999999999996,0.0,0.0,,0.2,0.5,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3
