Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980.0,11.0,1712,HOU,Houston Rockets,Allen Leavell,22.0,7.0,,149.0,2.4,9.2,0.26,0.0,1.0,0.0,2.4,8.2,0.29,4.6,5.1,0.9,0.5,2.4,2.9,5.8,1.4,0.0,1.4,2.9,9.4
1980.0,11.0,321,HOU,Houston Rockets,Alonzo Bradley,26.0,4.0,,15.0,14.4,21.6,0.67,2.4,2.4,1.0,12.0,19.2,0.62,7.2,12.0,0.6,2.4,4.8,7.2,2.4,2.4,0.0,0.0,4.8,38.4
1980.0,11.0,2262,HOU,Houston Rockets,Billy Paultz,31.0,7.0,,128.0,3.7,11.3,0.32,0.0,0.0,,3.7,11.3,0.32,1.1,2.0,0.57,3.4,5.9,9.3,2.3,0.3,0.8,3.1,3.7,8.4
1980.0,11.0,2081,HOU,Houston Rockets,Calvin Murphy,31.0,7.0,,265.0,7.9,14.7,0.54,0.3,0.5,0.5,7.6,14.1,0.54,1.8,1.8,1.0,0.5,0.8,1.4,3.5,1.5,0.0,2.2,3.9,17.8
,,1540,,,Dwight Jones,,,,,,,,,,,,,,,,,,,,,,,,,
,,2619,,,John Shumate,,,,,,,,,,,,,,,,,,,,,,,,,
1980.0,11.0,1551,HOU,Houston Rockets,Major Jones,26.0,6.0,,70.0,5.7,9.3,0.61,0.0,0.0,,5.7,9.3,0.61,3.1,4.6,0.67,4.1,7.2,11.3,2.1,0.0,1.0,2.1,4.1,14.4
1980.0,11.0,802,HOU,Houston Rockets,Mike Dunleavy,25.0,6.0,,45.0,4.8,9.6,0.5,0.0,1.6,0.0,4.8,8.0,0.6,4.0,4.8,0.83,1.6,2.4,4.0,10.4,4.0,0.0,4.8,8.8,13.6
1980.0,11.0,1823,HOU,Houston Rockets,Moses Malone,24.0,7.0,,275.0,9.7,18.1,0.54,0.0,0.1,0.0,9.7,17.9,0.54,4.3,5.6,0.77,5.5,7.2,12.7,0.9,0.5,2.1,2.9,2.4,23.7
,,2022,,,Paul Mokeski,,,,,,,,,,,,,,,,,,,,,,,,,
1980.0,11.0,177,HOU,Houston Rockets,Rick Barry,35.0,6.0,,79.0,5.5,15.0,0.36,1.4,5.5,0.25,4.1,9.6,0.43,2.7,2.7,1.0,0.0,2.7,2.7,6.8,0.5,0.5,4.6,5.0,15.0
1980.0,11.0,2423,HOU,Houston Rockets,Robert Reid,24.0,7.0,,266.0,7.0,13.8,0.51,0.0,0.1,0.0,7.0,13.7,0.52,3.0,3.5,0.85,1.9,5.5,7.4,3.5,0.8,0.9,2.6,3.8,17.1
1980.0,11.0,2892,HOU,Houston Rockets,Rudy Tomjanovich,31.0,7.0,,185.0,4.7,12.5,0.38,0.2,1.4,0.14,4.5,11.1,0.4,1.8,2.5,0.69,2.3,5.4,7.8,1.9,0.4,0.0,2.7,4.1,11.3
,,3096,,,Rudy White,,,,,,,,,,,,,,,,,,,,,,,,,
1980.0,11.0,1256,HOU,Houston Rockets,Tom Henderson,28.0,7.0,,203.0,3.9,8.2,0.48,0.0,0.2,0.0,3.9,8.0,0.49,2.1,2.7,0.8,0.9,2.0,2.8,7.4,1.2,0.7,2.0,3.4,9.9
