Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,24.0,ATL,NBA,C,5.0,,134.0,18.0,31.0,0.581,0.0,0.0,,18.0,31.0,0.581,0.581,6.0,10.0,0.6,18.0,20.0,38.0,3.0,2.0,14.0,6.0,25.0,42.0
1982,26.0,ATL,NBA,C,2.0,,65.0,2.0,6.0,0.333,0.0,0.0,,2.0,6.0,0.333,0.333,3.0,4.0,0.75,5.0,3.0,8.0,2.0,0.0,6.0,5.0,8.0,7.0
1983,27.0,ATL,NBA,C,3.0,,118.0,13.0,27.0,0.481,0.0,0.0,,13.0,27.0,0.481,0.481,3.0,9.0,0.333,10.0,20.0,30.0,3.0,1.0,10.0,6.0,12.0,29.0
1984,28.0,ATL,NBA,C,5.0,,152.0,10.0,25.0,0.4,0.0,0.0,,10.0,25.0,0.4,0.4,5.0,8.0,0.625,10.0,24.0,34.0,1.0,2.0,10.0,11.0,23.0,25.0
1986,30.0,ATL,NBA,C,9.0,9.0,248.0,26.0,47.0,0.553,0.0,0.0,,26.0,47.0,0.553,0.553,7.0,11.0,0.636,18.0,60.0,78.0,3.0,2.0,15.0,12.0,32.0,59.0
1987,31.0,ATL,NBA,C,9.0,9.0,221.0,15.0,28.0,0.536,0.0,0.0,,15.0,28.0,0.536,0.536,10.0,14.0,0.714,19.0,34.0,53.0,3.0,3.0,16.0,7.0,33.0,40.0
1988,32.0,ATL,NBA,C,12.0,12.0,333.0,20.0,36.0,0.556,0.0,0.0,,20.0,36.0,0.556,0.556,13.0,15.0,0.867,23.0,48.0,71.0,6.0,10.0,19.0,5.0,46.0,53.0
1989,33.0,CLE,NBA,C,5.0,0.0,74.0,6.0,8.0,0.75,0.0,0.0,,6.0,8.0,0.75,0.75,3.0,5.0,0.6,5.0,11.0,16.0,1.0,3.0,7.0,1.0,10.0,15.0
1990,34.0,CLE,NBA,C,3.0,0.0,38.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,6.0,8.0,0.75,0.0,8.0,8.0,1.0,2.0,1.0,3.0,7.0,8.0
1991,35.0,DET,NBA,C,6.0,0.0,32.0,2.0,2.0,1.0,0.0,0.0,,2.0,2.0,1.0,1.0,0.0,0.0,,1.0,2.0,3.0,0.0,1.0,1.0,2.0,6.0,4.0
1993,37.0,HOU,NBA,C,6.0,0.0,16.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,1.0,3.0,4.0,0.0,2.0,0.0,0.0,2.0,0.0
1994,38.0,ORL,NBA,C,3.0,0.0,29.0,2.0,5.0,0.4,0.0,0.0,,2.0,5.0,0.4,0.4,0.0,0.0,,3.0,0.0,3.0,0.0,1.0,1.0,0.0,9.0,4.0
1995,39.0,ORL,NBA,C,14.0,0.0,81.0,3.0,5.0,0.6,0.0,0.0,,3.0,5.0,0.6,0.6,1.0,4.0,0.25,4.0,2.0,6.0,0.0,0.0,6.0,4.0,19.0,7.0
