Season,Team ID,Team ABV,Team,PLAYER,Age,G,GS,MP,FG,FGA,FG.1,3P,3PA,3P.1,2P,2PA,2P.1,FT,FTA,FT.1,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1995,14,LAL,Los Angeles Lakers,Nick Van Exel,23,10,10,464,5.2,12.6,0.41,1.6,5.1,0.32,3.6,7.4,0.48,3.5,4.6,0.76,0.7,2.3,2.9,5.7,1.6,0.2,1.7,2.6,15.5
1995,14,LAL,Los Angeles Lakers,Vlade Divac,26,10,10,388,5.3,11.3,0.47,0.2,0.8,0.22,5.1,10.5,0.49,3.7,5.8,0.64,3.2,4.7,7.9,2.9,0.7,1.2,2.6,4.1,14.5
1995,14,LAL,Los Angeles Lakers,Elden Campbell,26,10,10,376,6.1,12.6,0.48,0.0,0.0,,6.1,12.6,0.48,2.8,4.2,0.66,2.5,4.5,7.0,1.5,0.4,2.9,1.4,4.2,15.0
1995,14,LAL,Los Angeles Lakers,Cedric Ceballos,25,10,10,340,5.1,13.3,0.38,1.9,5.3,0.36,3.2,8.0,0.4,3.0,4.0,0.74,1.2,5.3,6.5,1.9,1.3,0.7,2.2,2.2,15.0
1995,14,LAL,Los Angeles Lakers,Eddie Jones,23,10,0,286,3.8,10.1,0.38,1.5,3.4,0.44,2.3,6.7,0.34,1.9,2.6,0.71,0.9,3.1,4.0,2.5,1.0,1.1,2.1,3.4,11.0
1995,14,LAL,Los Angeles Lakers,Anthony Peeler,25,10,10,268,4.3,10.6,0.4,1.1,4.2,0.26,3.2,6.4,0.5,2.3,3.0,0.77,1.1,2.7,3.8,3.4,1.3,0.3,1.6,3.1,12.0
1995,14,LAL,Los Angeles Lakers,George Lynch,24,10,0,136,4.0,8.5,0.47,0.3,1.3,0.2,3.7,7.1,0.52,3.4,5.3,0.65,3.4,4.5,7.9,1.9,2.1,0.0,2.4,5.8,11.6
1995,14,LAL,Los Angeles Lakers,Sam Bowie,33,10,0,135,2.1,8.0,0.27,0.0,0.0,,2.1,8.0,0.27,1.3,1.3,1.0,3.5,5.3,8.8,0.8,0.3,2.4,1.6,6.7,5.6
1995,14,LAL,Los Angeles Lakers,Tony Smith,26,6,0,27,4.0,17.3,0.23,4.0,13.3,0.3,0.0,4.0,0.0,0.0,2.7,0.0,1.3,2.7,4.0,4.0,0.0,0.0,5.3,1.3,12.0
1995,14,LAL,Los Angeles Lakers,Anthony Miller,23,4,0,15,0.0,4.8,0.0,0.0,0.0,,0.0,4.8,0.0,0.0,0.0,,4.8,9.6,14.4,2.4,2.4,0.0,2.4,4.8,0.0
1995,14,LAL,Los Angeles Lakers,Sedale Threatt,33,1,0,11,3.3,13.1,0.25,0.0,6.5,0.0,3.3,6.5,0.5,0.0,0.0,,0.0,0.0,0.0,6.5,3.3,0.0,0.0,6.5,6.5
1995,14,LAL,Los Angeles Lakers,Antonio Harvey,24,3,0,4,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
