PLAYER,Age,G,MP,PER,TS,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Eddie Johnson,24,3,107,14.9,0.499,0.10400000000000001,0.146,3.6,7.3,5.2,17.6,1.4,0.5,3.8,19.9,,0.2,0.1,0.2,0.10099999999999999,,2.4,0.4,2.8,0.1
LaSalle Thompson,22,3,93,16.5,0.502,0.0,0.275,11.5,26.5,17.9,6.7,1.6,2.5,10.0,21.5,,0.1,0.1,0.2,0.098,,-0.2,0.4,0.2,0.1
Mike Woodson,25,3,87,14.1,0.484,0.023,0.341,4.5,6.0,5.1,16.5,1.1,0.0,5.6,24.7,,0.1,0.0,0.1,0.079,,0.2,-0.4,-0.2,0.0
Reggie Theus,26,3,81,14.3,0.45399999999999996,0.07,0.233,4.8,11.2,7.6,31.7,3.0,0.0,16.0,27.9,,-0.1,0.1,0.0,-0.003,,-0.7,0.9,0.2,0.0
Larry Drew,25,3,70,6.8,0.418,0.0,0.158,0.0,7.4,3.2,21.4,2.1,0.0,19.7,14.5,,-0.1,0.0,0.0,-0.028999999999999998,,-4.7,0.4,-4.3,0.0
Larry Micheaux,23,3,65,21.4,0.67,0.0,0.556,18.0,18.0,18.0,7.1,0.0,4.4,8.2,15.1,,0.2,0.1,0.3,0.21,,3.6,0.8,4.4,0.1
Mark Olberding,27,3,60,9.5,0.473,0.0,0.9329999999999999,6.5,23.8,13.9,13.6,0.0,0.0,15.9,16.8,,0.0,0.0,0.0,0.013999999999999999,,-2.3,-0.5,-2.8,0.0
Dave Robisch,34,3,51,3.3,0.349,0.0,0.16699999999999998,11.4,22.9,16.4,5.2,0.9,0.0,28.0,14.1,,-0.1,0.0,-0.1,-0.09,,-6.5,-1.6,-8.1,-0.1
Don Buse,33,3,50,14.6,0.563,0.375,0.375,0.0,7.8,3.3,31.7,1.0,1.2,13.9,17.4,,0.1,0.0,0.1,0.1,,2.1,0.6,2.7,0.1
Billy Knight,31,3,37,4.6,0.36200000000000004,0.0,0.083,5.3,3.5,4.5,8.8,0.0,0.0,7.4,29.1,,-0.1,0.0,-0.1,-0.141,,-4.5,-4.6,-9.1,-0.1
Ed Nealy,23,2,19,18.6,1.042,0.0,1.0,10.2,27.3,17.6,14.5,0.0,0.0,25.8,8.2,,0.1,0.0,0.1,0.198,,3.7,1.6,5.3,0.0
