NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
8,Álex Abrines,SG,6-6,200,1993-08-01,ES,2,
12,Steven Adams,C,6-11,265,1993-07-20,NZ,5,Pitt
30,Deonte Burton,SG,6-4,240,1994-01-31,US,R,"Marquette, Iowa State"
34,Tyler Davis,C,6-10,266,1997-05-22,US,R,Texas A&M
6,Hamidou Diallo,SG,6-5,202,1998-07-31,US,R,Kentucky
8,Jawun Evans,PG,6-0,185,1996-07-26,US,1,Oklahoma State
2,Raymond Felton,PG,6-1,205,1984-06-26,US,13,UNC
23,Terrance Ferguson,SG,6-6,190,1998-05-17,US,1,
13,Paul George,SF,6-8,220,1990-05-02,US,8,Fresno State
9,Jerami Grant,PF,6-8,210,1994-03-12,US,4,Syracuse
15,Donte Grantham,SF,6-8,215,1995-03-19,US,R,Clemson
7,Timothé Luwawu-Cabarrot,SF,6-7,220,1995-05-09,FR,2,
5,Markieff Morris,PF,6-8,245,1989-09-02,US,7,Kansas
11,Abdel Nader,SF,6-5,225,1993-09-25,EG,1,"Northern Illinois, Iowa State"
3,Nerlens Noel,C,6-10,220,1994-04-10,US,4,Kentucky
54,Patrick Patterson,PF,6-8,235,1989-03-14,US,8,Kentucky
17,Dennis Schröder,PG,6-1,172,1993-09-15,DE,5,
0,Russell Westbrook,PG,6-3,200,1988-11-12,US,10,UCLA
