Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,16,MIA,Miami Heat,Grant Long,25,3,3,120,4.5,10.8,0.42,0.0,1.2,0.0,4.5,9.6,0.47,2.1,3.0,0.7,2.1,2.4,4.5,2.4,1.5,0.0,1.5,3.3,11.1,1769
1992,16,MIA,Miami Heat,Glen Rice,24,3,3,119,7.3,19.4,0.38,0.9,3.6,0.25,6.4,15.7,0.4,1.8,2.1,0.86,0.9,2.1,3.0,1.5,0.6,0.0,1.8,2.1,17.2,2434
1992,16,MIA,Miami Heat,Rony Seikaly,26,3,3,117,5.8,10.8,0.54,0.0,0.0,,5.8,10.8,0.54,7.4,9.8,0.75,3.4,5.8,9.2,1.2,0.3,1.5,2.8,4.6,19.1,2591
1992,16,MIA,Miami Heat,Steve Smith,22,3,3,100,6.5,12.2,0.53,2.5,4.0,0.64,4.0,8.3,0.48,1.8,2.2,0.83,1.1,1.1,2.2,5.4,1.4,0.4,1.1,0.7,17.3,2703
1992,16,MIA,Miami Heat,Brian Shaw,25,3,3,85,5.9,12.7,0.47,1.3,2.1,0.6,4.7,10.6,0.44,2.1,3.4,0.62,0.8,4.7,5.5,5.1,0.8,0.0,3.0,5.5,15.2,2608
1992,16,MIA,Miami Heat,Kevin Edwards,26,3,0,55,3.3,8.5,0.38,0.0,0.0,,3.3,8.5,0.38,3.3,5.2,0.62,0.7,3.9,4.6,4.6,1.3,0.0,3.3,2.0,9.8,835
1992,16,MIA,Miami Heat,Keith Askins,24,3,0,48,3.7,8.2,0.46,2.3,3.7,0.6,1.5,4.5,0.33,0.0,1.5,0.0,3.0,3.7,6.8,2.3,0.7,0.0,0.7,5.2,9.7,116
1992,16,MIA,Miami Heat,Bimbo Coles,23,3,0,45,5.6,8.0,0.7,0.8,0.8,1.0,4.8,7.2,0.67,6.4,8.0,0.8,1.6,4.0,5.6,4.8,2.4,0.0,4.0,4.0,18.4,565
1992,16,MIA,Miami Heat,Alan Ogg,24,3,0,15,2.4,7.2,0.33,0.0,0.0,,2.4,7.2,0.33,2.4,4.8,0.5,0.0,2.4,2.4,0.0,2.4,7.2,0.0,7.2,7.2,2186
1992,16,MIA,Miami Heat,Alec Kessler,25,2,0,12,0.0,6.0,0.0,0.0,0.0,,0.0,6.0,0.0,6.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,6.0,1600
1992,16,MIA,Miami Heat,John Morton,24,1,0,2,0.0,0.0,,0.0,0.0,,0.0,0.0,,36.0,36.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,36.0,2061
1992,16,MIA,Miami Heat,Jon Sundvold,30,1,0,2,0.0,18.0,0.0,0.0,0.0,,0.0,18.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,2786
