SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
2001,30,WAS,4,Courtney Alexander,PG,6-5,205,1977-04-27,US,R,"Virginia, Fresno State"
2001,30,WAS,52,Calvin Booth,C,6-11,230,1976-05-07,US,1,Penn State
2001,30,WAS,24,Hubert Davis,PG,6-5,183,1970-05-17,US,8,UNC
2001,30,WAS,54,Obinna Ekezie,PF,6-9,270,1975-08-22,NG,1,Maryland
2001,30,WAS,32,Richard Hamilton,SF,6-6,185,1978-02-14,US,1,UConn
2001,30,WAS,5,Juwan Howard,PF,6-9,240,1973-02-07,US,6,Michigan
2001,30,WAS,50,Popeye Jones,PF,6-8,250,1970-06-17,US,7,Murray State
2001,30,WAS,51,Gerard King,SF,6-9,230,1972-11-25,US,2,Nicholls State
2001,30,WAS,44,Christian Laettner,PF,6-11,235,1969-08-17,US,8,Duke
2001,30,WAS,13,Felipe Lopez,SG,6-5,199,1974-12-19,DO,2,St. John's
2001,30,WAS,8,Tyrone Nesby,SF,6-6,225,1976-01-31,US,2,UNLV
2001,30,WAS,44,Cherokee Parks,C,6-11,235,1972-10-11,US,5,Duke
2001,30,WAS,3,Laron Profit,PG,6-5,204,1977-08-05,US,1,Maryland
2001,30,WAS,2,Mitch Richmond,SG,6-5,215,1965-06-30,US,12,Kansas State
2001,30,WAS,34,Michael Smith,PF,6-8,230,1972-03-28,US,6,Providence
2001,30,WAS,40,Mike Smith,SF,6-8,195,1976-04-15,US,R,Louisiana-Monroe
2001,30,WAS,1,Rod Strickland,PG,6-3,175,1966-07-11,US,12,DePaul
2001,30,WAS,22,David Vanterpool,PG,6-5,200,1973-03-31,US,R,St. Bonaventure
2001,30,WAS,35,Loy Vaught,PF,6-9,230,1968-02-27,US,10,Michigan
2001,30,WAS,55,Jahidi White,C,6-9,290,1976-02-19,US,2,Georgetown
2001,30,WAS,12,Chris Whitney,PG,6-0,168,1971-10-05,US,7,Clemson
