Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004,21.0,UTA,NBA,SG,57.0,0.0,772.0,5.4,14.1,0.38,0.5,1.8,0.256,4.9,12.3,0.398,2.1,2.6,0.786,1.1,2.3,3.4,3.5,1.3,0.1,2.4,4.1,13.2
2005,22.0,MIL,NBA,PG,80.0,80.0,2254.0,5.2,11.8,0.438,0.5,1.6,0.323,4.6,10.2,0.456,2.2,2.6,0.85,0.8,3.1,3.9,7.7,1.2,0.2,3.1,3.5,13.0
2006,23.0,MIL,NBA,PG,58.0,12.0,1531.0,6.3,14.8,0.424,1.7,4.5,0.382,4.6,10.3,0.443,2.3,2.7,0.85,0.7,2.7,3.4,5.4,1.2,0.2,2.5,3.4,16.5
2007,24.0,MIL,NBA,PG,68.0,68.0,2472.0,6.8,15.3,0.446,1.2,3.3,0.346,5.7,12.0,0.474,2.3,2.7,0.855,0.8,4.0,4.8,6.1,1.2,0.1,3.0,2.9,17.1
2008,25.0,MIL,NBA,PG,66.0,66.0,2410.0,6.6,13.7,0.48,1.3,3.5,0.385,5.3,10.3,0.512,2.5,2.9,0.856,0.6,2.9,3.4,6.3,1.2,0.1,2.7,2.8,17.0
2009,26.0,CLE,NBA,PG,81.0,81.0,2834.0,6.7,14.3,0.467,2.3,5.3,0.436,4.4,9.0,0.486,2.6,2.9,0.912,0.6,2.9,3.5,4.2,0.9,0.1,2.3,2.7,18.3
2010,27.0,CLE,NBA,PG,69.0,68.0,2359.0,5.8,13.0,0.442,2.4,5.7,0.429,3.3,7.4,0.452,2.7,3.0,0.894,0.4,2.7,3.1,5.6,1.1,0.3,2.6,2.6,16.7
2011,28.0,TOT,NBA,PG,58.0,56.0,1788.0,5.9,14.7,0.399,1.6,4.9,0.324,4.3,9.8,0.436,3.0,3.6,0.853,0.4,2.7,3.1,7.7,1.1,0.2,3.4,3.0,16.3
2011,28.0,CLE,NBA,PG,36.0,34.0,1065.0,6.0,15.6,0.385,1.2,4.6,0.265,4.8,11.0,0.436,2.9,3.4,0.833,0.5,2.8,3.3,8.7,1.1,0.3,3.5,3.1,16.1
2011,28.0,LAC,NBA,PG,22.0,22.0,723.0,5.6,13.3,0.422,2.1,5.4,0.398,3.5,8.0,0.438,3.3,3.7,0.88,0.3,2.5,2.8,6.1,1.0,0.0,3.3,2.9,16.7
2012,29.0,LAC,NBA,SG,52.0,1.0,1472.0,6.4,14.9,0.426,2.3,5.8,0.389,4.1,9.1,0.449,1.8,2.0,0.9,0.6,1.9,2.4,3.9,1.2,0.2,2.1,2.5,16.8
2013,30.0,UTA,NBA,PG,46.0,46.0,1418.0,5.8,13.5,0.43,1.5,3.9,0.383,4.3,9.6,0.449,1.9,2.2,0.882,0.6,2.2,2.8,7.2,1.2,0.2,3.2,2.7,15.0
2014,31.0,POR,NBA,PG,74.0,0.0,1834.0,5.5,13.2,0.417,1.6,4.4,0.369,3.9,8.8,0.441,1.5,1.7,0.876,0.8,2.2,3.0,6.3,1.1,0.2,2.9,3.9,14.2
2015,32.0,TOT,NBA,PG,68.0,33.0,1980.0,6.2,15.6,0.397,2.2,6.3,0.342,4.0,9.3,0.434,3.0,3.4,0.872,0.4,2.8,3.2,7.7,0.8,0.3,3.1,2.9,17.5
2015,32.0,MIN,NBA,PG,41.0,19.0,1149.0,5.6,14.0,0.403,1.8,5.3,0.347,3.8,8.7,0.437,2.5,2.9,0.851,0.4,2.7,3.1,8.2,0.9,0.3,3.2,3.2,15.6
2015,32.0,CHO,NBA,PG,27.0,14.0,831.0,7.0,17.9,0.39,2.6,7.7,0.337,4.4,10.2,0.43,3.6,4.0,0.892,0.4,2.9,3.3,7.1,0.7,0.3,3.0,2.6,20.1
2016,33.0,CLE,NBA,PG,41.0,14.0,748.0,6.4,14.5,0.437,1.7,4.9,0.353,4.6,9.6,0.48,1.8,2.0,0.905,0.3,3.2,3.5,4.7,0.7,0.2,2.7,2.9,16.3
