NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
25,Ron Anderson,SF,6-7,215,1958-10-15,US,R,Fresno State
5,John Bagley,PG,6-0,185,1960-04-23,US,2,Boston College
45,Jeff Cook,PF,6-10,215,1956-10-21,US,5,Idaho State University
16,Johnny Davis,PG,6-2,170,1955-10-21,US,8,Dayton
21,World B. Free,SG,6-2,185,1953-12-09,US,9,Guilford College
10,Butch Graves,SG,6-3,200,1962-01-05,US,R,Yale
32,Roy Hinson,PF,6-9,210,1961-05-02,US,1,Rutgers University
35,Phil Hubbard,SF,6-8,215,1956-12-13,US,5,Michigan
20,Geoff Huston,PG,6-2,175,1957-11-08,US,5,Texas Tech
44,Edgar Jones,PF,6-10,225,1956-06-17,US,4,Nevada
50,Ben Poquette,PF,6-9,235,1955-05-07,US,7,Central Michigan University
4,Campy Russell,SF,6-8,215,1952-01-12,US,8,Michigan
8,Lonnie Shelton,PF,6-8,240,1955-10-19,US,8,Oregon State
10,Robert Smith,PG,5-11,165,1955-03-10,US,6,UNLV
33,Paul Thompson,SF,6-6,210,1961-05-25,US,1,Tulane
54,Melvin Turpin,C,6-11,240,1960-12-28,US,R,Kentucky
41,Mark West,C,6-10,230,1960-11-05,US,1,Old Dominion
12,Kevin Williams,SG,6-2,175,1961-09-11,US,1,"TCU, St. John's"
22,Michael Wilson,SG,6-4,175,1959-09-15,US,1,Marquette
