Season,Age,Tm,League,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
2013,24.0,IND,NBA,C,14.0,55.0,8.8,0.286,0.0,0.19,24.8,19.9,22.3,5.7,0.0,4.0,11.6,21.4,,-0.1,0.1,0.0,-0.015,,-5.0,-2.9,-7.8,-0.1
2014,25.0,PHO,NBA,C,80.0,1964.0,14.6,0.529,0.0,0.239,11.3,24.4,17.9,3.3,1.3,3.5,15.4,16.2,,1.2,2.8,4.0,0.098,,-1.4,0.1,-1.3,0.3
2015,26.0,TOT,NBA,C,73.0,1194.0,13.4,0.536,0.0,0.181,10.3,19.3,14.8,4.2,1.7,4.3,15.7,12.0,,0.9,1.7,2.6,0.103,,-1.5,1.0,-0.6,0.4
2015,26.0,PHO,NBA,C,54.0,1005.0,13.1,0.55,0.0,0.195,10.3,19.7,14.9,3.9,1.7,4.2,17.5,11.2,,0.8,1.4,2.1,0.102,,-1.7,1.0,-0.7,0.3
2015,26.0,MIL,NBA,C,19.0,189.0,15.0,0.488,0.0,0.136,10.4,17.4,13.9,6.0,1.6,4.9,8.8,16.3,,0.1,0.3,0.4,0.107,,-0.8,0.8,0.1,0.1
2016,27.0,MIL,NBA,C,61.0,870.0,17.4,0.606,0.0,0.253,12.5,18.0,15.2,2.9,1.2,4.9,13.4,15.5,,1.4,0.8,2.2,0.124,,-0.2,-1.3,-1.5,0.1
2017,28.0,TOT,NBA,C,45.0,484.0,8.4,0.518,0.0,0.424,9.0,13.3,11.1,6.1,1.9,2.4,21.6,13.1,,-0.1,0.5,0.5,0.045,,-5.0,0.0,-5.0,-0.4
2017,28.0,MIL,NBA,C,32.0,310.0,8.0,0.492,0.0,0.515,8.7,11.1,10.0,8.2,1.8,2.6,20.9,15.5,,-0.2,0.3,0.1,0.021,,-5.1,-0.2,-5.4,-0.3
2017,28.0,CHO,NBA,C,13.0,174.0,9.0,0.602,0.0,0.167,9.4,17.2,13.3,2.5,2.0,2.0,23.7,8.7,,0.1,0.2,0.3,0.087,,-4.8,0.4,-4.4,-0.1
2018,29.0,ATL,NBA,C,55.0,918.0,10.6,0.574,0.0,0.333,9.4,18.3,13.9,7.2,0.9,2.8,23.4,12.8,,0.1,0.7,0.9,0.046,,-3.7,-0.1,-3.8,-0.4
2019,30.0,ATL,NBA,C,18.0,173.0,18.9,0.654,0.0,0.625,9.5,14.3,11.8,14.7,1.6,2.0,14.0,16.7,,0.4,0.1,0.5,0.145,,1.6,0.0,1.6,0.2
