Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Ortg,Drtg
1990,23,PHI,Philadelphia 76Ers,Charles Barkley,26,10,10,419,10.8,19.9,0.54,0.7,2.2,0.33,10.1,17.7,0.57,8.0,13.3,0.6,8.1,10.9,19.1,5.3,1.0,0.9,3.7,4.4,30.4,120,113,165
1990,23,PHI,Philadelphia 76Ers,Hersey Hawkins,23,10,10,415,10.1,20.2,0.5,1.7,4.5,0.39,8.3,15.8,0.53,7.3,7.8,0.94,1.0,2.9,3.8,4.5,1.5,0.9,3.8,3.1,29.2,116,117,1228
1990,23,PHI,Philadelphia 76Ers,Johnny Dawkins,26,10,10,386,7.1,15.4,0.46,0.0,0.9,0.0,7.1,14.4,0.49,4.8,5.7,0.84,0.7,2.3,2.9,12.4,2.3,0.3,3.9,2.9,19.0,110,116,705
1990,23,PHI,Philadelphia 76Ers,Mike Gminski,30,10,10,342,8.6,17.6,0.49,0.0,0.8,0.0,8.6,16.9,0.51,2.1,2.3,0.93,1.2,6.9,8.1,1.7,1.2,3.5,2.6,4.1,19.3,99,112,1049
1990,23,PHI,Philadelphia 76Ers,Rick Mahorn,31,10,10,342,5.6,13.0,0.43,0.0,0.2,0.0,5.6,12.8,0.44,3.0,3.9,0.77,2.7,7.8,10.5,1.5,1.1,1.2,2.0,6.2,14.2,100,114,1816
1990,23,PHI,Philadelphia 76Ers,Ron Anderson,31,10,0,256,8.1,18.7,0.43,0.6,1.0,0.6,7.4,17.7,0.42,5.8,6.0,0.97,1.2,6.2,7.4,2.8,0.8,0.0,3.0,4.4,22.5,104,117,82
1990,23,PHI,Philadelphia 76Ers,Scott Brooks,24,9,0,99,3.1,9.9,0.32,1.6,3.6,0.43,1.6,6.2,0.25,3.1,4.7,0.67,1.0,3.1,4.2,8.3,1.6,0.0,3.6,6.8,10.9,94,117,366
1990,23,PHI,Philadelphia 76Ers,Bob Thornton,27,9,0,89,4.1,10.4,0.39,0.0,0.0,,4.1,10.4,0.39,2.9,5.8,0.5,6.4,2.3,8.7,2.3,1.2,0.6,1.2,12.7,11.0,107,117,2878
1990,23,PHI,Philadelphia 76Ers,Kurt Nimphius,31,4,0,18,2.9,20.0,0.14,0.0,0.0,,2.9,20.0,0.14,0.0,0.0,,8.6,2.9,11.4,0.0,2.9,2.9,0.0,2.9,5.7,62,112,2144
1990,23,PHI,Philadelphia 76Ers,Derek Smith,28,1,0,15,17.2,27.5,0.62,0.0,3.4,0.0,17.2,24.0,0.71,3.4,6.9,0.5,0.0,0.0,0.0,3.4,3.4,0.0,3.4,10.3,37.8,110,115,2674
1990,23,PHI,Philadelphia 76Ers,Kenny Payne,23,3,0,10,10.3,25.8,0.4,0.0,10.3,0.0,10.3,15.5,0.67,10.3,10.3,1.0,5.2,5.2,10.3,0.0,0.0,0.0,5.2,15.5,30.9,99,119,2268
1990,23,PHI,Philadelphia 76Ers,Lanard Copeland,24,4,0,9,11.4,34.3,0.33,0.0,0.0,,11.4,34.3,0.33,0.0,0.0,,0.0,5.7,5.7,0.0,0.0,0.0,5.7,5.7,22.9,60,119,608
