Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1992,14,2882,LAL,Los Angeles Lakers,Sedale Threatt,30,4,4,162,24,46,0.52,2,3,0.67,22,43,0.51,0.54,9,12,0.75,0,8,8,17,2,0,11,11,59
1992,14,1098,LAL,Los Angeles Lakers,A.C. Green,28,4,4,153,16,39,0.41,0,0,,16,39,0.41,0.41,19,23,0.83,15,21,36,7,7,0,5,10,51
1992,14,2581,LAL,Los Angeles Lakers,Byron Scott,30,4,4,148,22,44,0.5,7,12,0.58,15,32,0.47,0.58,24,27,0.89,3,7,10,14,6,1,5,10,75
1992,14,753,LAL,Los Angeles Lakers,Vlade Divac,23,4,4,143,15,43,0.35,0,2,0.0,15,41,0.37,0.35,9,10,0.9,6,16,22,15,5,3,18,17,39
1992,14,2822,LAL,Los Angeles Lakers,Terry Teagle,31,4,2,126,27,55,0.49,0,0,,27,55,0.49,0.49,16,20,0.8,3,10,13,8,5,2,8,18,70
1992,14,463,LAL,Los Angeles Lakers,Elden Campbell,23,4,2,117,14,37,0.38,0,0,,14,37,0.38,0.38,12,18,0.67,9,16,25,6,3,6,4,14,40
1992,14,372,LAL,Los Angeles Lakers,Chucky Brown,23,3,0,44,8,19,0.42,0,1,0.0,8,18,0.44,0.42,3,6,0.5,3,8,11,2,0,2,1,3,19
1992,14,2707,LAL,Los Angeles Lakers,Tony Smith,23,4,0,40,3,10,0.3,0,2,0.0,3,8,0.38,0.3,1,2,0.5,1,1,2,5,4,0,3,5,7
1992,14,2469,LAL,Los Angeles Lakers,Cliff Robinson,31,3,0,24,3,10,0.3,0,0,,3,10,0.3,0.3,5,8,0.62,2,4,6,1,3,1,2,6,11
1992,14,2723,LAL,Los Angeles Lakers,Rory Sparrow,33,3,0,16,1,4,0.25,0,0,,1,4,0.25,0.25,3,4,0.75,1,0,1,4,1,0,0,5,5
1992,14,1149,LAL,Los Angeles Lakers,Jack Haley,28,2,0,12,1,4,0.25,0,0,,1,4,0.25,0.25,0,0,,1,0,1,1,0,0,0,3,2
