SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1988,24,PHO,33,Alvan Adams,C,6-9,210,1954-07-19,US,12,Oklahoma
1988,24,PHO,2,James Bailey,PF,6-9,220,1957-05-21,US,8,Rutgers University
1988,24,PHO,45,Jeff Cook,PF,6-10,215,1956-10-21,US,7,Idaho State University
1988,24,PHO,23,Tyrone Corbin,SF,6-6,210,1962-12-31,US,2,DePaul
1988,24,PHO,12,Winston Crite,SF,6-7,233,1965-06-20,US,R,Texas A&M
1988,24,PHO,6,Walter Davis,SF,6-6,193,1954-09-09,US,10,UNC
1988,24,PHO,53,James Edwards,C,7-0,225,1955-11-22,US,10,Washington
1988,24,PHO,35,Armen Gilliam,PF,6-9,230,1964-05-28,US,R,UNLV
1988,24,PHO,25,Craig Hodges,SG,6-2,190,1960-06-27,US,5,Cal State Long Beach
1988,24,PHO,14,Jeff Hornacek,SG,6-3,190,1963-05-03,US,1,Iowa State
1988,24,PHO,24,Jay Humphries,PG,6-3,185,1962-10-17,US,3,Colorado
1988,24,PHO,8,Eddie Johnson,SF,6-7,215,1959-05-01,US,6,Illinois
1988,24,PHO,11,Kevin Johnson,PG,6-1,180,1966-03-04,US,R,California
1988,24,PHO,26,Bill Martin,SF,6-7,205,1962-08-16,US,2,Georgetown
1988,24,PHO,53,Ron Moore,C,7-0,260,1962-01-16,US,R,"Salem International University, West Virginia State University"
1988,24,PHO,22,Larry Nance,PF,6-10,205,1959-02-12,US,6,Clemson
1988,24,PHO,11,Mike Sanders,SF,6-6,210,1960-05-07,US,5,UCLA
1988,24,PHO,7,Bernard Thompson,SF,6-6,210,1962-08-30,US,3,Fresno State
1988,24,PHO,41,Mark West,C,6-10,230,1960-11-05,US,4,Old Dominion
