SEASON,TEAM ID,TEAM,NUMBER,PLAYER,POS,HEIGHT,WEIGHT,BIRTH_DATE,NATIONALITY,EXPERIENCE,COLLEGE
1997,15,VAN,3,Shareef Abdur-Rahim,PF,6-9,225,1976-12-11,US,R,California
1997,15,VAN,2,Greg Anthony,PG,6-0,176,1967-11-15,US,5,"University of Portland, UNLV"
1997,15,VAN,33,Pete Chilcutt,PF,6-10,230,1968-09-14,US,5,UNC
1997,15,VAN,30,Blue Edwards,SF,6-4,200,1965-10-31,US,7,East Carolina University
1997,15,VAN,55,Eric Leckner,C,6-11,265,1966-05-27,US,7,Wyoming
1997,15,VAN,34,George Lynch,SF,6-8,218,1970-09-03,US,3,UNC
1997,15,VAN,15,Rich Manning,PF,6-11,253,1970-06-23,US,1,"Syracuse, Washington"
1997,15,VAN,11,Lee Mayberry,PG,6-1,172,1970-06-12,US,4,Arkansas
1997,15,VAN,52,Eric Mobley,C,6-11,235,1970-02-01,US,2,Pitt
1997,15,VAN,21,Lawrence Moten,SG,6-5,185,1972-03-25,US,1,Syracuse
1997,15,VAN,10,Moochie Norris,PG,6-1,175,1973-07-27,US,R,"Auburn, University of West Florida"
1997,15,VAN,7,Anthony Peeler,SG,6-4,208,1969-11-25,US,4,Missouri
1997,15,VAN,50,Bryant Reeves,C,7-0,275,1973-06-08,US,1,Oklahoma State
1997,15,VAN,5,Chris Robinson,SG,6-5,200,1974-04-02,US,R,Western Kentucky
1997,15,VAN,44,Roy Rogers,PF,6-10,235,1973-08-19,US,R,Alabama
1997,15,VAN,15,Aaron Williams,PF,6-9,220,1971-10-02,US,2,Xavier
