Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1984,24.0,SEA,NBA,PF,5.0,,191.0,5.3,11.1,0.475,0.0,0.2,0.0,5.3,10.9,0.483,2.3,3.4,0.667,0.8,5.5,6.2,1.5,0.9,0.6,1.7,4.3,12.8
1987,27.0,SEA,NBA,PF,14.0,14.0,498.0,8.5,19.0,0.449,0.4,1.3,0.333,8.1,17.7,0.457,5.8,7.2,0.808,2.3,4.2,6.5,2.3,0.9,0.9,2.5,3.7,23.3
1988,28.0,SEA,NBA,PF,5.0,5.0,168.0,10.7,19.5,0.549,0.0,0.4,0.0,10.7,19.1,0.562,6.2,7.5,0.829,1.7,4.9,6.6,2.4,0.6,0.2,2.8,5.1,27.6
1989,29.0,PHO,NBA,PF,12.0,12.0,495.0,8.6,18.7,0.459,0.7,1.6,0.409,7.9,17.1,0.464,4.9,5.7,0.859,1.6,7.9,9.5,3.3,0.9,1.1,2.8,3.2,22.7
1990,30.0,PHO,NBA,PF,16.0,16.0,612.0,6.9,16.2,0.425,0.3,1.1,0.263,6.6,15.1,0.438,6.8,7.8,0.879,1.2,5.1,6.3,1.8,0.4,0.4,2.9,3.2,20.9
1991,31.0,PHO,NBA,PF,4.0,4.0,142.0,6.8,16.7,0.409,0.0,1.3,0.0,6.8,15.5,0.443,3.5,4.8,0.737,0.5,5.3,5.8,2.5,1.8,1.3,3.0,3.0,17.2
1992,32.0,PHO,NBA,PF,7.0,0.0,194.0,7.2,15.8,0.459,0.7,1.3,0.571,6.5,14.5,0.449,5.0,5.9,0.844,1.5,4.3,5.8,3.5,0.4,0.9,2.8,4.6,20.2
1993,33.0,PHO,NBA,PF,24.0,1.0,376.0,6.1,15.8,0.388,0.2,0.5,0.4,5.9,15.3,0.388,4.2,5.2,0.815,2.2,4.0,6.2,1.1,0.6,1.0,2.5,5.6,16.7
1994,34.0,UTA,NBA,PF,16.0,0.0,325.0,3.9,10.7,0.361,0.0,0.8,0.0,3.9,10.0,0.389,2.5,3.2,0.793,1.8,3.2,5.0,1.3,0.6,1.0,0.9,5.5,10.3
1995,35.0,UTA,NBA,PF,5.0,0.0,60.0,6.6,13.2,0.5,0.6,1.8,0.333,6.0,11.4,0.526,5.4,7.8,0.692,1.8,6.0,7.8,1.2,1.2,0.0,1.8,10.8,19.2
