Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1980,22.0,CHI,NBA,PF,82.0,,2791.0,6.4,13.6,0.474,0.0,0.1,0.143,6.4,13.5,0.476,4.3,5.4,0.81,2.9,7.1,10.0,2.3,0.8,1.7,2.7,4.0,17.2
1981,23.0,CHI,NBA,PF,82.0,,2710.0,6.4,13.1,0.486,0.0,0.0,0.0,6.4,13.1,0.487,2.9,3.9,0.748,3.2,6.4,9.6,2.9,1.0,1.6,2.6,3.7,15.7
1982,24.0,CHI,NBA,PF,82.0,82.0,2914.0,5.9,12.5,0.473,0.0,0.0,0.0,5.9,12.5,0.475,3.0,3.6,0.825,2.4,7.3,9.7,3.2,0.9,1.1,2.2,3.6,14.8
1983,25.0,CHI,NBA,PF,79.0,61.0,2355.0,4.8,10.5,0.455,0.0,0.1,0.0,4.8,10.4,0.457,2.5,3.6,0.708,3.3,8.4,11.7,2.3,0.8,1.4,2.4,4.0,12.1
1984,26.0,CHI,NBA,PF,78.0,76.0,2718.0,4.9,10.0,0.49,0.0,0.0,0.0,4.9,10.0,0.491,2.8,3.8,0.737,2.8,7.6,10.4,1.8,0.9,1.0,2.0,3.5,12.6
1985,27.0,CHI,NBA,PF,61.0,28.0,1523.0,3.6,7.8,0.458,0.0,0.0,0.0,3.6,7.8,0.459,1.6,2.2,0.713,2.6,6.6,9.2,1.8,0.8,0.4,1.5,4.5,8.8
1986,28.0,SAS,NBA,PF,68.0,24.0,1910.0,3.7,7.3,0.51,0.0,0.0,0.0,3.7,7.3,0.512,2.7,3.5,0.772,2.8,7.2,10.0,1.7,0.7,1.0,2.1,3.9,10.1
1987,29.0,SAS,NBA,PF,79.0,78.0,2587.0,4.7,9.1,0.513,0.0,0.1,0.5,4.6,9.0,0.513,3.4,4.3,0.785,3.6,7.3,10.9,3.3,1.0,0.7,2.2,3.5,12.7
1988,30.0,SAS,NBA,PF,45.0,40.0,1236.0,4.4,9.6,0.46,0.0,0.1,0.0,4.4,9.5,0.463,2.4,3.2,0.748,2.7,6.1,8.7,2.8,1.0,0.6,2.2,3.9,11.2
1989,31.0,TOT,NBA,PF,67.0,18.0,1403.0,4.3,10.1,0.423,0.0,0.0,,4.3,10.1,0.423,3.4,4.5,0.75,3.6,6.7,10.3,2.5,1.2,1.3,2.3,5.2,12.0
1989,31.0,SAS,NBA,PF,38.0,15.0,912.0,4.1,9.7,0.425,0.0,0.0,,4.1,9.7,0.425,3.3,4.1,0.8,3.6,5.8,9.4,2.2,1.2,0.9,2.2,4.9,11.6
1989,31.0,DEN,NBA,PF,29.0,3.0,491.0,4.5,10.9,0.419,0.0,0.0,,4.5,10.9,0.419,3.5,5.2,0.676,3.5,8.5,12.0,3.0,1.2,2.1,2.6,5.7,12.6
1990,32.0,DET,NBA,PF,37.0,0.0,205.0,3.9,9.1,0.423,0.0,0.0,,3.9,9.1,0.423,2.8,5.1,0.552,4.2,9.5,13.7,2.1,0.7,1.6,2.8,7.0,10.5
1991,33.0,SAS,NBA,PF,63.0,11.0,1018.0,3.0,6.0,0.503,0.0,0.1,0.0,3.0,5.9,0.509,2.4,3.3,0.734,2.2,5.7,7.8,1.8,1.0,0.9,2.5,6.1,8.5
