Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,16,MIA,Miami Heat,Tim Hardaway,30,17,17,701,5.3,14.7,0.36,2.2,6.9,0.31,3.1,7.9,0.4,3.6,4.5,0.8,0.7,2.9,3.5,6.1,1.4,0.1,2.7,1.9,16.3,1180
1997,16,MIA,Miami Heat,Alonzo Mourning,26,17,17,630,6.1,12.5,0.49,0.2,0.5,0.38,5.9,12.0,0.5,4.9,8.9,0.56,2.5,7.4,9.9,1.0,0.6,2.6,4.0,4.2,17.3,2069
1997,16,MIA,Miami Heat,Jamal Mashburn,24,17,17,554,4.2,10.9,0.39,1.4,4.0,0.36,2.8,6.9,0.41,1.7,2.6,0.65,1.4,4.0,5.5,2.3,1.1,0.1,1.9,3.8,11.6,1863
1997,16,MIA,Miami Heat,Voshon Lenard,23,17,17,548,4.1,10.2,0.41,2.4,6.0,0.4,1.8,4.2,0.42,2.1,2.4,0.86,0.8,2.5,3.3,2.4,0.7,0.2,2.0,3.2,12.7,1731
1997,16,MIA,Miami Heat,Dan Majerle,31,17,2,496,3.3,8.5,0.39,1.8,5.4,0.34,1.5,3.1,0.49,1.4,2.0,0.68,1.2,4.1,5.2,3.1,1.5,0.3,0.9,2.3,9.9,1817
1997,16,MIA,Miami Heat,P.J. Brown,27,15,15,451,3.4,8.2,0.41,0.0,0.0,,3.4,8.2,0.41,3.0,4.2,0.72,3.8,6.5,10.3,0.8,0.7,1.6,1.3,3.2,9.7,393
1997,16,MIA,Miami Heat,Isaac Austin,27,15,0,287,4.5,10.2,0.44,0.1,0.5,0.25,4.4,9.7,0.46,3.1,3.9,0.81,2.0,6.3,8.3,0.8,0.8,0.9,2.8,4.4,12.3,121
1997,16,MIA,Miami Heat,Keith Askins,29,12,0,146,2.5,5.7,0.44,1.5,3.0,0.5,1.0,2.7,0.36,1.0,1.0,1.0,2.7,4.2,6.9,1.7,0.7,0.5,0.7,6.4,7.4,116
1997,16,MIA,Miami Heat,John Crotty,27,15,0,125,3.7,9.5,0.39,1.4,3.5,0.42,2.3,6.0,0.38,1.7,2.0,0.86,1.4,1.7,3.2,3.2,1.2,0.0,4.0,4.3,10.7,639
1997,16,MIA,Miami Heat,Willie Anderson,30,9,0,120,3.3,9.0,0.37,0.6,2.4,0.25,2.7,6.6,0.41,2.7,3.0,0.9,0.6,4.5,5.1,1.5,1.2,0.6,3.6,6.0,9.9,85
1997,16,MIA,Miami Heat,Mark Strickland,26,4,0,16,9.0,18.0,0.5,0.0,0.0,,9.0,18.0,0.5,0.0,4.5,0.0,0.0,6.8,6.8,2.3,2.3,0.0,4.5,0.0,18.0,2773
1997,16,MIA,Miami Heat,Ed Pinckney,33,2,0,6,12.0,18.0,0.67,0.0,0.0,,12.0,18.0,0.67,0.0,0.0,,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,24.0,2308
