PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Josh Okogie,21,62,1547,11.5,0.5529999999999999,0.387,0.48,5.7,12.8,9.1,8.9,2.0,1.4,15.3,15.1,,0.9,1.2,2.2,0.068,,-2.4,0.0,-2.4,-0.2
Jarrett Culver,20,63,1506,9.6,0.467,0.38799999999999996,0.20600000000000002,4.7,10.3,7.4,10.8,1.8,2.1,11.5,19.2,,-1.2,1.1,-0.1,-0.004,,-3.3,-0.7,-4.0,-0.8
Andrew Wiggins,24,42,1455,16.1,0.535,0.348,0.262,3.4,12.9,7.9,18.1,0.9,2.1,10.8,28.0,,0.6,0.8,1.4,0.046,,1.1,-1.5,-0.4,0.6
Robert Covington,29,48,1411,13.5,0.5720000000000001,0.629,0.19,2.6,19.5,10.7,5.9,2.6,2.6,12.0,17.8,,0.5,1.8,2.3,0.078,,-1.2,1.2,0.0,0.7
Karl-Anthony Towns,24,35,1187,26.5,0.642,0.445,0.363,8.1,26.1,16.8,22.8,1.3,2.9,13.2,28.8,,3.7,1.3,5.1,0.204,,7.0,0.8,7.8,2.9
Jeff Teague,31,34,945,15.9,0.578,0.26899999999999996,0.444,1.6,8.5,4.9,32.5,1.2,1.1,16.4,20.2,,1.7,0.4,2.1,0.10800000000000001,,0.6,-1.2,-0.6,0.3
Shabazz Napier,28,36,856,13.9,0.539,0.562,0.311,2.0,11.9,6.8,31.3,2.2,0.7,19.1,19.1,,0.6,0.6,1.3,0.071,,-0.6,-0.2,-0.8,0.3
Gorgui Dieng,30,46,778,17.8,0.563,0.433,0.213,9.5,25.8,17.4,11.1,2.2,4.5,12.7,18.4,,0.9,1.1,2.1,0.129,,0.3,1.5,1.8,0.7
Treveon Graham,26,33,663,6.0,0.447,0.474,0.21100000000000002,4.5,11.7,8.0,6.1,1.2,0.3,9.0,13.1,,-0.3,0.3,0.1,0.004,,-5.0,-0.8,-5.8,-0.6
Keita Bates-Diop,24,37,646,12.5,0.535,0.456,0.316,3.3,15.1,9.0,6.7,1.2,2.6,5.6,15.8,,0.6,0.5,1.0,0.077,,-0.8,-0.1,-0.9,0.2
Jordan McLaughlin,23,30,590,16.3,0.5870000000000001,0.42700000000000005,0.21899999999999997,1.2,7.8,4.4,31.0,2.7,0.6,13.7,15.8,,1.1,0.4,1.6,0.13,,0.3,0.0,0.3,0.3
Jake Layman,25,23,505,10.3,0.544,0.402,0.179,3.4,8.7,6.0,4.4,1.6,1.6,11.1,17.7,,0.0,0.3,0.3,0.03,,-2.7,-1.0,-3.7,-0.2
Kelan Martin,24,31,495,9.2,0.506,0.53,0.171,2.5,18.6,10.2,6.8,0.7,1.5,9.3,17.8,,-0.1,0.3,0.2,0.023,,-3.3,-1.0,-4.3,-0.3
Naz Reid,20,30,495,15.3,0.505,0.39899999999999997,0.218,7.0,19.9,13.2,11.2,1.8,3.7,7.6,24.0,,0.2,0.6,0.8,0.07400000000000001,,-1.6,-0.3,-1.9,0.0
Malik Beasley,23,14,463,16.2,0.591,0.494,0.12,2.0,14.7,8.1,9.8,0.9,0.4,7.9,23.7,,0.5,0.2,0.8,0.079,,1.7,-2.4,-0.7,0.2
Juan Hernangómez,24,14,411,14.1,0.5760000000000001,0.504,0.336,4.7,22.1,13.1,6.4,1.6,0.8,8.2,17.1,,0.5,0.4,0.8,0.098,,-0.4,-1.0,-1.5,0.1
D'Angelo Russell,23,12,392,17.6,0.5529999999999999,0.521,0.261,0.8,14.5,7.4,33.1,2.0,0.8,16.4,29.5,,0.2,0.3,0.5,0.064,,1.8,-1.7,0.1,0.2
Noah Vonleh,24,29,347,15.3,0.605,0.163,0.326,10.0,25.9,17.6,10.8,1.5,1.4,16.2,13.9,,0.5,0.4,0.9,0.124,,-1.5,0.4,-1.0,0.1
James Johnson,32,14,338,17.9,0.588,0.359,0.266,5.1,15.9,10.3,24.4,2.6,4.7,18.8,21.4,,0.3,0.4,0.8,0.109,,0.1,1.5,1.6,0.3
Jordan Bell,25,27,235,14.1,0.57,0.15,0.483,12.1,23.3,17.5,8.6,0.4,3.5,19.8,15.9,,0.2,0.2,0.4,0.07200000000000001,,-1.5,-1.1,-2.6,0.0
Jaylen Nowell,20,15,151,10.5,0.47100000000000003,0.491,0.321,2.0,7.3,4.5,17.8,0.9,0.6,4.7,17.3,,0.1,0.0,0.2,0.051,,-2.9,-0.8,-3.8,-0.1
Allen Crabbe,27,9,131,1.1,0.41600000000000004,0.765,0.059000000000000004,0.8,9.2,4.8,5.1,0.0,0.0,12.5,12.5,,-0.2,0.0,-0.2,-0.068,,-6.7,-3.2,-9.9,-0.3
Jarred Vanderbilt,20,2,5,11.1,0.532,1.0,2.0,0.0,21.9,10.6,0.0,0.0,0.0,0.0,15.5,,0.0,0.0,0.0,0.10400000000000001,,-2.8,-2.8,-5.6,0.0
Jacob Evans,22,2,4,-9.6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,,0.0,0.0,0.0,-0.263,,-10.5,-5.5,-16.1,0.0
