PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Unnamed: 27,ORtg,DRtg
Kevin Garnett,27,82,82,3231,13.4,26.9,0.499,0.2,0.7,0.256,13.2,26.2,0.506,6.1,7.8,0.7909999999999999,4.1,14.9,19.0,6.8,2.0,3.0,3.5,3.4,33.2,,112,92
Latrell Sprewell,33,82,82,3100,9.0,22.0,0.409,1.7,5.2,0.331,7.3,16.8,0.433,4.2,5.1,0.8140000000000001,1.0,4.4,5.4,5.0,1.5,0.4,2.7,1.8,23.9,,100,103
Sam Cassell,34,81,81,2838,11.8,24.1,0.488,1.4,3.5,0.39799999999999996,10.4,20.6,0.504,5.5,6.3,0.873,0.8,4.3,5.2,11.3,1.9,0.3,4.2,4.7,30.5,,113,102
Trenton Hassell,24,81,74,2264,4.2,9.1,0.465,0.1,0.3,0.308,4.1,8.8,0.47,1.1,1.5,0.787,1.6,4.5,6.1,3.2,0.9,1.3,1.1,4.8,9.7,,107,103
Fred Hoiberg,31,79,3,1804,5.3,11.5,0.465,2.3,5.1,0.442,3.1,6.3,0.483,2.9,3.5,0.845,0.6,7.4,8.0,3.3,2.0,0.3,1.3,4.1,15.8,,121,100
Mark Madsen,28,72,12,1246,4.4,8.8,0.495,0.0,0.3,0.0,4.4,8.6,0.51,2.5,5.1,0.483,5.8,6.0,11.8,1.2,1.4,0.8,2.0,7.6,11.2,,106,101
Gary Trent,29,68,2,1025,8.2,17.3,0.473,0.0,0.3,0.0,8.2,16.9,0.48100000000000004,3.6,4.8,0.758,4.4,7.0,11.4,2.6,0.6,0.9,2.8,6.8,19.9,,103,102
Ervin Johnson,36,66,47,965,3.1,5.8,0.534,0.0,0.1,0.0,3.1,5.7,0.539,1.0,1.6,0.607,3.4,9.6,13.0,1.3,1.5,2.4,1.7,8.7,7.1,,107,97
Michael Olowokandi,28,43,25,925,7.1,16.6,0.425,0.0,0.0,,7.1,16.6,0.425,2.1,3.6,0.59,4.5,9.7,14.3,1.4,0.9,4.0,3.1,8.0,16.2,,90,96
Wally Szczerbiak,26,28,0,622,9.2,20.5,0.449,1.7,4.0,0.435,7.5,16.5,0.45299999999999996,4.6,5.6,0.828,2.1,5.6,7.6,2.9,1.0,0.1,2.4,3.6,24.7,,107,103
Oliver Miller,33,48,1,506,5.7,10.7,0.53,0.0,0.1,0.0,5.7,10.6,0.535,1.6,2.5,0.652,4.9,9.0,13.9,3.8,2.0,2.8,3.5,9.7,12.9,,103,96
Troy Hudson,27,29,1,503,8.6,22.2,0.386,3.3,8.3,0.40299999999999997,5.3,13.9,0.377,2.9,3.5,0.818,0.4,3.3,3.8,7.5,0.8,0.0,3.6,3.4,23.4,,98,106
Keith McLeod,24,33,0,391,3.7,11.3,0.32899999999999996,0.1,1.4,0.1,3.6,9.9,0.361,4.6,5.9,0.767,0.7,4.0,4.7,8.1,2.2,0.1,4.0,5.4,12.1,,89,102
Darrick Martin,32,16,0,172,6.3,21.0,0.299,1.9,8.2,0.231,4.4,12.9,0.341,2.8,2.8,1.0,0.6,1.6,2.2,7.2,0.6,0.3,2.2,7.2,17.3,,89,107
Anthony Goldwire,32,5,0,66,4.1,11.4,0.35700000000000004,1.6,4.9,0.33299999999999996,2.5,6.5,0.375,0.8,0.8,1.0,0.8,4.1,4.9,8.2,2.5,0.0,1.6,4.1,10.6,,105,101
Quincy Lewis,26,14,0,65,5.8,16.6,0.35,1.7,4.1,0.4,4.1,12.4,0.33299999999999996,0.0,0.0,,0.8,5.0,5.8,1.7,1.7,1.7,2.5,8.3,13.3,,77,101
Ndudi Ebi,19,17,0,32,10.1,23.6,0.429,0.0,0.0,,10.1,23.6,0.429,1.7,6.7,0.25,3.4,1.7,5.1,5.1,0.0,6.7,5.1,10.1,21.9,,81,102
