Season,Team ID,Player ID,Team ABV,Team,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
,,1523,,,Anthony Jones,,,,,,,,,,,,,,,,,,,,,,,
1989.0,5.0,495,CHI,Chicago Bulls,Bill Cartwright,31.0,17.0,583.0,10.1,0.55,0.0,0.54,6.9,16.7,12.1,5.4,0.8,1.4,18.3,17.5,0.0,0.8,0.7,0.06,-2.7,-0.7,-3.4,-0.2
1989.0,5.0,2594,CHI,Chicago Bulls,Brad Sellers,26.0,13.0,177.0,10.1,0.43,0.0,0.21,10.4,10.0,10.2,13.5,0.9,1.6,8.7,17.8,0.0,0.2,0.2,0.05,-1.6,-0.7,-2.3,0.0
1989.0,5.0,682,CHI,Chicago Bulls,Charles Davis,30.0,17.0,191.0,5.7,0.45,0.13,0.19,10.3,15.7,13.1,4.0,1.1,0.4,20.3,15.2,-0.2,0.2,0.0,0.0,-4.6,-1.1,-5.8,-0.2
1989.0,5.0,1304,CHI,Chicago Bulls,Craig Hodges,28.0,17.0,554.0,10.6,0.52,0.5,0.08,1.8,3.4,2.6,18.0,2.1,0.4,11.6,17.0,0.3,0.5,0.8,0.07,0.2,-0.5,-0.2,0.2
1989.0,5.0,611,CHI,Chicago Bulls,Dave Corzine,32.0,16.0,219.0,8.3,0.46,0.0,0.27,7.8,13.7,10.9,6.5,1.0,1.9,13.3,17.1,-0.1,0.3,0.1,0.03,-3.3,-0.8,-4.1,-0.1
,,3221,,,David Wood,,,,,,,,,,,,,,,,,,,,,,,
,,2356,,,Dominic Pressley,,,,,,,,,,,,,,,,,,,,,,,
,,2121,,,Ed Nealy,,,,,,,,,,,,,,,,,,,,,,,
1989.0,5.0,1083,CHI,Chicago Bulls,Horace Grant,23.0,17.0,625.0,13.1,0.57,0.0,0.36,10.4,20.2,15.5,8.8,0.9,1.8,16.1,14.0,0.7,0.9,1.6,0.12,-0.3,0.3,0.0,0.3
1989.0,5.0,1149,CHI,Chicago Bulls,Jack Haley,25.0,5.0,7.0,23.4,0.64,0.0,0.67,0.0,15.8,8.3,30.5,0.0,0.0,0.0,25.2,0.0,0.0,0.0,0.29,1.7,3.7,5.4,0.0
1989.0,5.0,2265,CHI,Chicago Bulls,John Paxson,28.0,16.0,302.0,9.5,0.55,0.24,0.2,0.8,2.9,1.9,17.8,2.1,0.0,15.0,15.1,0.2,0.3,0.4,0.07,-2.6,-0.5,-3.1,-0.1
1989.0,5.0,1567,CHI,Chicago Bulls,Michael Jordan,25.0,17.0,718.0,29.9,0.6,0.09,0.59,4.4,14.4,9.6,38.0,3.1,1.2,12.2,35.4,2.8,1.2,4.0,0.27,9.1,3.1,12.1,2.5
1989.0,5.0,2973,CHI,Chicago Bulls,Sam Vincent,25.0,16.0,113.0,7.7,0.38,0.06,0.36,4.3,3.9,4.1,25.3,1.4,0.6,13.6,17.8,-0.1,0.1,0.0,-0.0,-1.9,-1.7,-3.6,0.0
1989.0,5.0,2313,CHI,Chicago Bulls,Scottie Pippen,23.0,17.0,619.0,14.4,0.54,0.31,0.28,6.7,17.0,12.1,17.5,2.0,1.8,16.7,18.0,0.4,1.0,1.3,0.1,1.6,1.5,3.1,0.8
1989.0,5.0,2282,CHI,Chicago Bulls,Will Perdue,23.0,3.0,22.0,27.0,0.68,0.11,0.33,16.7,15.1,15.9,18.9,0.0,0.0,0.0,21.3,0.1,0.0,0.1,0.32,7.2,1.5,8.7,0.1
