SEASON,TEAM ID,TEAM,PLAYER,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1997,11,HOU,Hakeem Olajuwon,34,78,78,2852,9.2,18.0,0.51,0.1,0.2,0.31,9.1,17.8,0.51,4.4,5.6,0.79,2.2,6.9,9.0,3.0,1.5,2.2,3.5,3.1,22.8
1997,11,HOU,Mario Elie,33,78,77,2687,3.9,7.8,0.5,1.6,3.8,0.42,2.3,4.0,0.57,2.8,3.1,0.9,0.8,2.3,3.1,4.2,1.2,0.2,1.8,2.7,12.2
1997,11,HOU,Matt Maloney,25,82,82,2386,4.1,9.3,0.44,2.3,5.7,0.4,1.8,3.5,0.5,1.1,1.4,0.76,0.3,2.1,2.4,4.6,1.2,0.0,1.8,1.9,11.6
1997,11,HOU,Clyde Drexler,34,62,62,2271,6.3,14.3,0.44,1.9,5.3,0.36,4.4,8.9,0.49,3.2,4.2,0.75,1.9,4.0,5.9,5.6,1.9,0.6,2.5,2.4,17.7
1997,11,HOU,Charles Barkley,33,53,53,2009,6.0,12.4,0.48,1.0,3.7,0.28,5.0,8.7,0.57,5.2,7.4,0.69,3.8,9.0,12.8,4.4,1.2,0.4,2.7,2.7,18.2
1997,11,HOU,Kevin Willis,34,75,32,1964,6.4,13.3,0.48,0.0,0.3,0.14,6.4,13.1,0.49,2.6,3.7,0.69,2.7,7.6,10.3,1.3,0.8,0.6,2.2,4.0,15.4
1997,11,HOU,Matt Bullard,29,71,12,1025,4.0,10.0,0.4,2.4,6.4,0.37,1.7,3.5,0.46,0.9,1.2,0.74,0.5,3.7,4.1,2.4,0.7,0.6,1.3,2.4,11.2
1997,11,HOU,Randy Livingston,21,64,0,981,3.7,8.4,0.44,0.3,0.8,0.41,3.3,7.6,0.44,1.5,2.4,0.65,1.2,2.3,3.4,5.7,1.4,0.4,3.7,3.9,9.2
1997,11,HOU,Sam Mack,26,52,10,904,4.2,10.4,0.4,1.9,5.7,0.33,2.3,4.8,0.48,1.4,1.7,0.83,0.8,3.4,4.2,2.3,1.2,0.2,1.7,2.7,11.6
1997,11,HOU,Othella Harrington,23,57,1,860,4.7,8.5,0.55,0.0,0.1,0.0,4.7,8.4,0.56,2.1,3.4,0.6,3.1,5.1,8.3,0.8,0.5,0.9,2.4,4.7,11.4
1997,11,HOU,Eddie Johnson,37,24,2,607,6.0,13.4,0.45,2.4,6.1,0.39,3.6,7.3,0.5,2.1,2.4,0.85,1.4,4.4,5.8,2.1,0.6,0.1,1.8,2.8,16.4
1997,11,HOU,Brent Price,28,25,0,390,4.1,9.7,0.42,1.6,4.9,0.32,2.5,4.8,0.52,1.9,1.9,1.0,0.9,1.8,2.7,6.0,1.6,0.0,3.0,3.1,11.6
1997,11,HOU,Sedale Threatt,35,21,0,334,3.0,8.0,0.38,0.9,2.2,0.4,2.2,5.8,0.37,0.6,0.9,0.75,0.5,2.0,2.6,4.3,1.6,0.3,1.4,3.1,7.5
1997,11,HOU,Tracy Moore,31,27,1,237,5.0,12.9,0.39,1.7,6.5,0.26,3.3,6.4,0.52,3.3,4.7,0.71,1.7,2.3,3.9,3.0,0.8,0.0,2.1,2.9,15.0
1997,11,HOU,Emanual Davis,28,13,0,230,3.8,8.5,0.44,1.9,4.2,0.44,1.9,4.2,0.44,0.8,1.3,0.62,0.3,3.1,3.4,4.1,1.4,0.3,2.7,3.1,10.2
1997,11,HOU,Charles Jones,39,12,0,93,0.8,1.9,0.4,0.0,0.0,,0.8,1.9,0.4,0.0,0.0,,1.9,3.1,5.0,1.2,0.8,1.5,0.0,3.1,1.5
1997,11,HOU,Elmer Bennett,26,4,0,16,4.5,13.5,0.33,2.3,6.8,0.33,2.3,6.8,0.33,11.3,13.5,0.83,0.0,2.3,2.3,9.0,4.5,0.0,0.0,2.3,22.5
1997,11,HOU,Joe Stephens,24,2,0,9,4.0,20.0,0.2,4.0,12.0,0.33,0.0,8.0,0.0,0.0,0.0,,8.0,4.0,12.0,0.0,12.0,0.0,12.0,12.0,12.0
