PLAYER,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22,OBPM,DBPM,BPM,VORP
Blake Griffin,24,13,478,21.7,0.5539999999999999,0.03,0.41,8.1,15.2,11.5,18.2,1.7,2.5,10.1,27.9,,1.1,0.3,1.4,0.14300000000000002,,3.9,0.5,4.4,0.8
Chris Paul,28,13,472,23.6,0.583,0.355,0.26899999999999996,2.8,10.8,6.7,45.4,3.9,0.0,15.0,23.9,,1.5,0.5,1.9,0.195,,6.4,2.4,8.8,1.3
DeAndre Jordan,25,13,442,16.5,0.648,0.0,1.206,10.7,32.3,21.1,3.2,1.4,6.3,19.3,11.7,,0.5,0.7,1.2,0.13,,0.6,1.8,2.4,0.5
Matt Barnes,33,13,404,9.7,0.529,0.561,0.17800000000000002,6.0,10.6,8.2,8.0,1.5,0.6,12.8,14.2,,0.2,0.2,0.4,0.047,,0.0,-0.5,-0.5,0.2
J.J. Redick,29,13,351,14.4,0.599,0.489,0.195,1.3,6.1,3.6,8.4,1.6,0.0,8.3,19.5,,0.6,0.1,0.7,0.095,,2.6,-0.8,1.8,0.3
Jamal Crawford,33,13,313,16.7,0.531,0.462,0.257,1.8,5.3,3.5,13.8,1.9,0.5,7.3,28.5,,0.4,0.1,0.5,0.079,,3.7,-1.1,2.6,0.4
Darren Collison,26,13,249,13.9,0.501,0.133,0.5,4.4,8.1,6.2,18.3,1.2,0.3,9.9,21.2,,0.3,0.0,0.4,0.07,,0.5,-1.3,-0.7,0.1
Glen Davis,28,13,158,13.1,0.61,0.0,0.0,9.8,16.6,13.1,8.6,0.9,1.6,14.6,13.2,,0.2,0.1,0.3,0.09699999999999999,,-0.6,0.8,0.2,0.1
Danny Granger,30,13,134,3.6,0.387,0.55,0.225,1.6,16.0,8.6,3.0,2.2,0.6,6.4,15.2,,-0.2,0.1,-0.1,-0.025,,-5.9,-0.8,-6.7,-0.2
Jared Dudley,28,7,45,4.3,0.409,0.545,0.0,0.0,15.9,7.6,5.9,1.1,0.0,0.0,10.6,,0.0,0.0,0.0,0.011000000000000001,,-2.7,-0.5,-3.2,0.0
Hedo Türkoğlu,34,5,41,15.1,0.615,0.769,0.0,0.0,14.5,7.0,3.6,3.7,0.0,0.0,13.8,,0.1,0.0,0.1,0.13699999999999998,,3.2,1.3,4.4,0.1
Willie Green,32,5,19,12.8,0.425,0.8,0.4,0.0,43.9,21.1,6.9,7.9,0.0,14.5,15.7,,0.0,0.1,0.0,0.094,,-4.6,7.1,2.5,0.0
Ryan Hollins,29,5,9,-3.2,0.33799999999999997,0.0,0.25,12.3,26.5,19.1,0.0,0.0,0.0,18.4,26.2,,0.0,0.0,0.0,-0.19,,-14.1,-6.3,-20.3,0.0
Reggie Bullock,22,2,5,23.0,1.0,0.0,0.0,0.0,0.0,0.0,32.2,0.0,0.0,0.0,8.7,,0.0,0.0,0.0,0.262,,8.8,4.0,12.8,0.0
