Season,Age,Tm,League,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2008,25.0,MIA,NBA,PF,24.0,1.0,498.0,2.0,4.3,0.467,0.0,0.0,,2.0,4.3,0.467,2.1,3.5,0.592,2.7,4.0,6.7,0.2,0.7,2.2,1.2,4.0,6.1
2009,26.0,MIA,NBA,C,65.0,28.0,1048.0,2.0,4.1,0.483,0.0,0.0,,2.0,4.1,0.483,1.0,1.6,0.652,3.1,3.7,6.8,0.9,0.7,3.2,1.4,4.8,4.9
2010,27.0,MIA,NBA,C,80.0,16.0,1322.0,2.1,4.3,0.478,0.0,0.0,,2.1,4.3,0.478,1.8,2.5,0.717,3.3,3.4,6.8,0.3,0.5,3.0,1.2,4.3,5.9
2011,28.0,MIA,NBA,C,75.0,11.0,1463.0,1.3,2.4,0.535,0.0,0.0,,1.3,2.4,0.535,1.2,1.8,0.644,2.6,4.0,6.5,0.6,0.2,2.3,0.9,4.8,3.8
2012,29.0,MIA,NBA,C,64.0,51.0,1349.0,2.3,4.1,0.559,0.0,0.0,,2.3,4.1,0.559,1.3,1.9,0.69,2.7,4.0,6.7,0.2,1.0,2.2,1.2,3.4,5.8
2013,30.0,MIA,NBA,C,62.0,3.0,566.0,2.2,4.3,0.515,0.0,0.0,,2.2,4.3,0.515,1.1,1.8,0.607,2.9,4.5,7.3,0.8,0.8,2.7,1.4,3.1,5.5
2014,31.0,TOT,NBA,C,33.0,0.0,186.0,2.3,6.2,0.375,0.0,0.0,,2.3,6.2,0.375,0.8,1.5,0.5,2.9,4.5,7.4,0.4,0.6,2.3,0.6,3.3,5.4
2014,31.0,MIA,NBA,C,12.0,0.0,37.0,1.9,5.8,0.333,0.0,0.0,,1.9,5.8,0.333,1.9,1.9,1.0,1.9,4.9,6.8,0.0,0.0,3.9,1.0,3.9,5.8
2014,31.0,BOS,NBA,C,21.0,0.0,149.0,2.4,6.3,0.385,0.0,0.0,,2.4,6.3,0.385,0.5,1.4,0.333,3.1,4.3,7.5,0.5,0.7,1.9,0.5,3.1,5.3
2015,32.0,DET,NBA,C,49.0,0.0,406.0,3.2,5.5,0.581,0.0,0.0,,3.2,5.5,0.581,1.3,2.0,0.682,2.8,5.4,8.2,0.4,1.1,4.3,1.1,4.9,7.7
2016,33.0,DET,NBA,C,19.0,0.0,96.0,2.3,3.7,0.6,0.0,0.0,,2.3,3.7,0.6,2.3,3.0,0.75,3.0,4.9,7.9,0.4,0.7,4.5,0.7,5.6,6.8
2017,34.0,SAS,NBA,C,19.0,0.0,122.0,3.0,4.7,0.625,0.0,0.0,,3.0,4.7,0.625,1.5,2.4,0.625,2.4,6.8,9.1,0.9,0.6,1.8,1.2,3.2,7.4
